time = 0	Re = 1	40	80
0.142549	0.154207	0.210000	0.824665
0.156125	0.168893	0.230000	0.824663
0.169701	0.183579	0.250000	0.824661
0.183277	0.198265	0.270000	0.824661
0.196853	0.212952	0.289999	0.824661
0.210429	0.227638	0.309999	0.824661
0.224005	0.242324	0.329999	0.824661
0.237581	0.257011	0.349999	0.824662
0.251157	0.271697	0.369999	0.824663
0.264733	0.286384	0.389999	0.824664
0.278308	0.301071	0.409999	0.824666
0.291884	0.315758	0.429999	0.824668
0.305460	0.330445	0.450000	0.824670
0.319035	0.345133	0.470000	0.824672
0.332610	0.359820	0.490000	0.824674
0.346185	0.374508	0.510000	0.824677
0.359760	0.389196	0.530001	0.824680
0.373335	0.403884	0.550001	0.824683
0.386910	0.418572	0.570001	0.824686
0.400484	0.433260	0.590002	0.824690
0.414058	0.447949	0.610002	0.824694
0.427632	0.462638	0.630002	0.824698
0.441206	0.477326	0.650003	0.824702
0.454780	0.492015	0.670003	0.824706
0.468353	0.506704	0.690003	0.824711
0.481926	0.521394	0.710003	0.824715
0.495499	0.536083	0.730003	0.824719
0.509072	0.550772	0.750003	0.824723
0.522645	0.565461	0.770002	0.824728
0.536217	0.580150	0.790002	0.824732
0.549790	0.594840	0.810002	0.824735
0.563362	0.609529	0.830002	0.824739
0.576935	0.624218	0.850001	0.824743
0.590507	0.638908	0.870001	0.824746
0.604080	0.653597	0.890001	0.824750
0.617652	0.668286	0.910001	0.824753
0.631225	0.682976	0.930000	0.824756
0.644797	0.697665	0.950000	0.824759
0.658370	0.712355	0.970000	0.824762
0.671942	0.727045	0.990000	0.824765
