time = 12.1999	Re = 1	40	80
0.153502	0.133736	0.203589	0.716692
0.170999	0.117309	0.207369	0.601283
0.184986	0.102124	0.211304	0.504425
0.197302	0.086187	0.215305	0.411845
0.208042	0.069449	0.219328	0.322190
0.217243	0.051636	0.223296	0.233359
0.223909	0.037829	0.227082	0.167367
0.229682	0.023417	0.230873	0.101604
0.238687	-0.001406	0.238691	-0.005892
0.245567	-0.019566	0.246345	-0.079510
0.251346	-0.037211	0.254085	-0.146979
0.263438	-0.056522	0.269433	-0.211352
0.278290	-0.058059	0.284282	-0.205677
0.294871	-0.045720	0.298394	-0.153826
0.311046	-0.021074	0.311759	-0.067648
0.318040	-0.002727	0.318052	-0.008575
0.323888	0.016053	0.324286	0.049524
0.327802	0.038973	0.330110	0.118337
0.329655	0.063180	0.335655	0.189360
0.328923	0.089601	0.340909	0.265955
0.325622	0.115915	0.345638	0.341993
0.319030	0.144117	0.350071	0.424295
0.309791	0.171168	0.353934	0.504781
0.297424	0.198439	0.357546	0.588367
0.283005	0.224155	0.361023	0.669876
0.274500	0.237696	0.363111	0.713665
0.265335	0.250755	0.365077	0.757155
0.256125	0.263592	0.367533	0.799764
0.246274	0.275977	0.369884	0.842212
0.235524	0.290044	0.373627	0.888765
0.224697	0.303462	0.377595	0.933439
0.213326	0.318307	0.383180	0.980359
0.202129	0.333247	0.389756	1.025578
0.190481	0.350878	0.399247	1.073444
0.178676	0.368903	0.409896	1.119752
0.167882	0.392593	0.426982	1.166705
0.156171	0.416285	0.444615	1.211890
0.150963	0.435234	0.460671	1.236926
0.146045	0.453762	0.476685	1.259412
0.139562	0.474364	0.494468	1.284660
0.133732	0.495694	0.513417	1.307282
0.131380	0.510618	0.527249	1.318962
0.128711	0.525534	0.541067	1.330610
0.125602	0.541570	0.555944	1.342903
0.121696	0.557647	0.570771	1.355934
0.115304	0.574184	0.585647	1.372619
0.109174	0.591625	0.601614	1.388317
0.105125	0.609922	0.618915	1.400116
0.102503	0.624672	0.633026	1.408155
0.101938	0.638825	0.646907	1.412560
0.102574	0.646676	0.654760	1.413490
0.096445	0.660076	0.667085	1.425710
0.087417	0.674079	0.679724	1.441832
0.084426	0.668623	0.673932	1.445193
0.069689	0.674242	0.677834	1.467803
0.054391	0.679863	0.682035	1.490964
0.079641	0.667959	0.672690	1.452126
0.094178	0.665561	0.672192	1.430228
0.084455	0.664623	0.669968	1.444402
0.060544	0.675891	0.678597	1.481458
0.036217	0.681254	0.682216	1.517683
0.009448	0.684055	0.684120	1.556986
0.038293	0.680703	0.681779	1.514600
0.064434	0.673877	0.676950	1.475469
0.089443	0.661290	0.667311	1.436357
0.096887	0.660405	0.667474	1.425127
0.081564	0.673778	0.678697	1.450327
0.096928	0.656737	0.663851	1.424264
0.086911	0.661383	0.667069	1.440137
0.062921	0.673697	0.676629	1.477669
0.047471	0.677861	0.679521	1.500880
0.030715	0.681435	0.682127	1.525752
0.014207	0.682158	0.682306	1.549973
-0.002205	0.682391	0.682395	1.574028
-0.025451	0.681540	0.682015	1.608123
-0.047299	0.675595	0.677249	1.640692
-0.022759	0.681585	0.681964	1.604175
0.000317	0.682227	0.682228	1.570332
0.018373	0.681690	0.681937	1.543850
0.037141	0.680393	0.681406	1.516262
0.063957	0.672894	0.675927	1.476034
0.084692	0.662369	0.667761	1.443624
0.094342	0.654761	0.661523	1.427695
0.099471	0.656044	0.663542	1.420321
0.093223	0.663459	0.669976	1.431200
0.071338	0.673028	0.676799	1.465195
0.096007	0.664499	0.671399	1.427309
0.100747	0.654619	0.662326	1.418093
0.096435	0.649918	0.657033	1.423490
0.093041	0.655373	0.661945	1.429772
0.079420	0.665366	0.670089	1.451995
0.059966	0.674302	0.676963	1.482100
0.035130	0.680502	0.681408	1.519219
0.005699	0.681579	0.681603	1.562435
-0.011651	0.681257	0.681356	1.587897
-0.031907	0.680040	0.680789	1.617681
-0.045711	0.673395	0.674944	1.638574
-0.051471	0.667007	0.668990	1.647812
-0.047029	0.665019	0.666680	1.641396
-0.055245	0.659151	0.661462	1.654413
-0.068519	0.647581	0.651196	1.676211
-0.084715	0.633225	0.638866	1.703790
-0.073248	0.643290	0.647446	1.684172
-0.061180	0.653947	0.656803	1.664080
-0.049953	0.661512	0.663395	1.646166
-0.050898	0.663628	0.665577	1.647343
-0.042336	0.665531	0.666876	1.634324
-0.053677	0.658726	0.660910	1.652103
-0.044099	0.663117	0.664582	1.637201
-0.060117	0.651711	0.654478	1.662782
-0.074134	0.640463	0.644739	1.686034
-0.095014	0.622640	0.629848	1.722226
-0.113841	0.607517	0.618091	1.756036
-0.101640	0.617252	0.625564	1.733998
-0.089553	0.626772	0.633138	1.712715
-0.075940	0.637774	0.642280	1.689309
-0.059213	0.653779	0.656455	1.661121
-0.076836	0.636466	0.641087	1.690938
-0.089130	0.626517	0.632825	1.712111
-0.100382	0.616459	0.624578	1.732217
-0.120935	0.599707	0.611779	1.769784
-0.141005	0.584880	0.601637	1.807366
-0.125920	0.595161	0.608335	1.779295
-0.139267	0.585637	0.601968	1.804265
-0.152045	0.575899	0.595632	1.828920
-0.169257	0.563947	0.588799	1.862372
-0.185289	0.552645	0.582879	1.894296
-0.172183	0.561479	0.587287	1.868351
-0.158825	0.570121	0.591831	1.842489
-0.173509	0.559821	0.586093	1.871345
-0.187525	0.549696	0.580802	1.899559
-0.206623	0.536683	0.575084	1.938305
-0.224007	0.524154	0.570015	1.974672
-0.212498	0.531519	0.572423	1.951126
-0.236315	0.514309	0.566002	2.001505
-0.249990	0.504489	0.563031	2.030863
-0.263217	0.494489	0.560181	2.059949
-0.269650	0.488329	0.557832	2.075319
-0.281734	0.478822	0.555558	2.102635
-0.293499	0.469063	0.553319	2.129909
-0.309643	0.455780	0.551012	2.167541
-0.324343	0.442804	0.548884	2.202986
-0.323837	0.441982	0.547922	2.203128
-0.335506	0.431422	0.546525	2.231775
-0.346724	0.420643	0.545122	2.260163
-0.362104	0.405757	0.543837	2.299405
-0.376224	0.391126	0.542701	2.336777
-0.371320	0.394943	0.542088	2.325376
-0.382392	0.383176	0.541339	2.355170
-0.392968	0.371238	0.540594	2.384622
-0.407103	0.355015	0.540156	2.424435
-0.419817	0.339236	0.539747	2.461958
-0.419197	0.338560	0.538840	2.462212
-0.436730	0.314962	0.538455	2.516792
-0.447483	0.299765	0.538609	2.551361
-0.457350	0.284715	0.538731	2.584769
-0.455169	0.286550	0.537857	2.579731
-0.467259	0.266604	0.537967	2.623094
-0.477145	0.249725	0.538545	2.659422
-0.486061	0.233104	0.539066	2.694416
-0.483800	0.235667	0.538146	2.688305
-0.496879	0.209208	0.539126	2.743077
-0.507578	0.184445	0.540051	2.793045
-0.506765	0.184502	0.539307	2.792432
-0.516994	0.158124	0.540635	2.844775
-0.525016	0.133746	0.541784	2.892151
-0.524075	0.134217	0.540989	2.890879
-0.531265	0.109351	0.542403	2.938597
-0.536761	0.086119	0.543626	2.982507
-0.537647	0.079137	0.543440	2.995451
-0.541654	0.058002	0.544751	3.034915
-0.544665	0.037489	0.545954	3.072871
-0.545003	0.030191	0.545838	3.086254
-0.546977	0.011033	0.547089	3.121425
-0.548215	-0.007814	0.548271	3.155844
-0.548494	-0.024279	0.549032	3.185829
-0.548410	-0.051429	0.550816	3.235097
-0.547647	-0.059915	0.550915	3.250564
-0.546756	-0.076976	0.552149	3.281461
-0.545345	-0.093969	0.553382	3.312229
-0.543184	-0.110938	0.554397	3.343059
-0.539158	-0.137900	0.556513	3.391993
-0.536283	-0.151684	0.557322	3.417236
-0.531405	-0.173930	0.559145	3.457906
-0.525987	-0.195260	0.561061	3.497051
-0.519926	-0.215811	0.562937	3.535032
-0.514369	-0.232486	0.564469	3.566094
-0.508358	-0.248956	0.566045	3.596987
-0.500360	-0.269685	0.568410	3.635938
-0.491819	-0.289695	0.570797	3.673905
-0.485009	-0.304320	0.572578	3.701954
-0.477829	-0.318803	0.574418	3.729958
-0.467828	-0.338266	0.577310	3.767626
-0.457254	-0.357365	0.580337	3.804980
-0.448708	-0.371735	0.582689	3.833446
-0.439850	-0.385905	0.585142	3.861755
-0.428001	-0.404346	0.588796	3.898579
-0.415735	-0.422409	0.592676	3.934954
-0.406394	-0.435489	0.595657	3.961536
-0.396774	-0.448384	0.598730	3.987980
-0.383559	-0.465842	0.603429	4.023562
-0.369977	-0.483066	0.608470	4.058793
-0.359782	-0.495510	0.612351	4.084371
-0.349330	-0.507760	0.616321	4.109774
-0.334436	-0.525174	0.622620	4.145342
-0.319014	-0.542614	0.629444	4.180898
-0.308352	-0.554424	0.634403	4.204823
-0.297325	-0.566091	0.639422	4.228766
-0.279727	-0.584777	0.648237	4.266212
-0.261184	-0.603924	0.657983	4.304201
-0.248676	-0.616377	0.664650	4.328913
-0.235792	-0.628674	0.671438	4.353564
-0.224690	-0.639292	0.677628	4.374407
-0.213178	-0.649728	0.683807	4.395352
-0.200314	-0.660920	0.690609	4.418105
-0.186783	-0.671904	0.697383	4.441245
-0.166697	-0.686480	0.706429	4.474171
-0.143786	-0.700194	0.714805	4.509853
-0.121626	-0.710885	0.721214	4.542939
-0.098124	-0.718989	0.725654	4.576752
-0.072453	-0.725106	0.728716	4.612800
-0.047181	-0.728929	0.730455	4.647753
-0.030762	-0.730009	0.730657	4.670275
-0.014097	-0.730956	0.731092	4.693105
0.001540	-0.730412	0.730413	4.714497
0.017550	-0.729704	0.729915	4.736436
