time = 11.0999	Re = 1	40	80
-0.152672	0.131122	0.201250	0.965515
-0.170531	0.109204	0.202500	1.105542
-0.185093	0.085175	0.203750	1.243841
-0.196217	0.059361	0.205000	1.381349
-0.203653	0.032626	0.206250	1.516267
-0.207437	0.005122	0.207500	1.650433
-0.207537	-0.022473	0.208750	1.782984
-0.203997	-0.049854	0.210000	1.914810
-0.198045	-0.073518	0.211250	2.030573
-0.189392	-0.096368	0.212500	2.145808
-0.178257	-0.117955	0.213750	2.259685
-0.164727	-0.138166	0.215000	2.373053
-0.149237	-0.156500	0.216250	2.484271
-0.131786	-0.173028	0.217500	2.595005
-0.112740	-0.187460	0.218750	2.704466
-0.092203	-0.199746	0.220000	2.813459
-0.070936	-0.209570	0.221250	2.919541
-0.048714	-0.217102	0.222500	3.025190
-0.025956	-0.222239	0.223750	3.129650
-0.002751	-0.224983	0.225000	3.233693
0.020313	-0.225336	0.226250	3.335820
0.043330	-0.223336	0.227500	3.437551
0.065903	-0.219051	0.228750	3.538163
0.087969	-0.212512	0.230000	3.638391
0.106967	-0.205023	0.231250	3.726799
0.125275	-0.195863	0.232500	3.814952
0.142620	-0.185199	0.233750	3.902154
0.159011	-0.173034	0.235000	3.989110
0.174101	-0.159697	0.236250	4.074442
0.188034	-0.145084	0.237500	4.159543
0.200620	-0.129433	0.238750	4.243746
0.211874	-0.112736	0.240000	4.327724
0.221515	-0.095566	0.241250	4.409419
0.229743	-0.077617	0.242500	4.490911
0.236462	-0.059160	0.243750	4.571560
0.241684	-0.040170	0.245000	4.652013
0.245346	-0.021081	0.246250	4.731002
0.247494	-0.001710	0.247500	4.809807
0.248122	0.017671	0.248750	4.887814
0.247233	0.037094	0.250000	4.965641
0.245306	0.054328	0.251250	5.034668
0.242180	0.071449	0.252500	5.103601
0.237916	0.088233	0.253750	5.171849
0.232494	0.104745	0.255000	5.240006
0.226075	0.120640	0.256250	5.306900
0.218578	0.136125	0.257500	5.373712
0.210115	0.151007	0.258750	5.439872
0.200650	0.165347	0.260000	5.505952
0.190533	0.178742	0.261250	5.570195
0.179532	0.191506	0.262500	5.634371
0.167801	0.203487	0.263750	5.697934
0.155283	0.214738	0.265000	5.761432
0.142269	0.225052	0.266250	5.823781
0.128584	0.234568	0.267500	5.886072
0.114406	0.243183	0.268750	5.947778
0.099668	0.250931	0.270000	6.009428
0.072224	0.262755	0.272500	6.119264
0.043655	0.271513	0.275000	6.228091
0.014589	0.277116	0.277500	6.334914
-0.014909	0.279603	0.280000	6.440782
-0.043931	0.279063	0.282500	6.543653
-0.072752	0.275558	0.285000	6.645639
-0.100821	0.269242	0.287500	6.745811
-0.128129	0.260159	0.290000	6.845144
-0.152012	0.249897	0.292500	6.934009
-0.174920	0.237546	0.295000	7.022226
-0.196483	0.223385	0.297500	7.108924
-0.216767	0.207393	0.300000	7.195005
-0.235287	0.190121	0.302500	7.278685
-0.252326	0.171337	0.305000	7.361795
-0.267647	0.151398	0.307500	7.443519
-0.281311	0.130245	0.310000	7.524701
-0.292391	0.110288	0.312500	7.597615
-0.302010	0.089527	0.315000	7.670123
-0.310064	0.068312	0.317500	7.741456
-0.316600	0.046524	0.320000	7.812403
-0.321546	0.024781	0.322500	7.881390
-0.324989	0.002693	0.325000	7.950021
-0.326925	-0.019399	0.327500	8.017574
-0.327364	-0.041628	0.330000	8.084788
-0.326700	-0.061831	0.332500	8.145355
-0.324802	-0.082028	0.335000	8.205682
-0.321742	-0.101921	0.337500	8.265086
-0.317486	-0.121666	0.340000	8.324261
-0.312242	-0.140752	0.342500	8.381810
-0.305879	-0.159572	0.345000	8.439151
-0.298529	-0.177867	0.347500	8.495640
-0.290122	-0.195779	0.350000	8.551930
-0.281792	-0.211777	0.352500	8.602792
-0.272609	-0.227397	0.355000	8.653529
-0.262740	-0.242434	0.357500	8.703531
-0.252075	-0.257017	0.360000	8.753413
-0.240977	-0.270807	0.362500	8.801927
-0.229160	-0.284096	0.365000	8.850335
-0.216820	-0.296724	0.367500	8.898060
-0.203826	-0.308796	0.370000	8.945685
-0.191608	-0.319441	0.372500	8.988816
-0.178863	-0.329595	0.375000	9.031901
-0.165799	-0.339141	0.377500	9.074393
-0.152259	-0.348162	0.380000	9.116842
-0.138667	-0.356480	0.382500	9.158125
-0.124658	-0.364260	0.385000	9.199374
-0.110448	-0.371426	0.387500	9.240069
-0.095872	-0.378032	0.390000	9.280732
-0.068604	-0.388997	0.395000	9.354537
-0.040615	-0.397933	0.400000	9.427392
-0.012488	-0.404807	0.405000	9.498265
0.016051	-0.409686	0.410000	9.568262
0.042603	-0.412807	0.415000	9.631943
0.069324	-0.414239	0.420000	9.694920
0.095708	-0.414083	0.425000	9.756248
0.122061	-0.412312	0.430000	9.816925
0.146364	-0.409637	0.435000	9.872269
0.170529	-0.405610	0.440000	9.927093
0.194133	-0.400421	0.445000	9.980535
0.217474	-0.393961	0.450000	10.033495
0.238911	-0.387229	0.455000	10.081911
0.260057	-0.379434	0.460000	10.129950
0.280565	-0.370821	0.465000	10.176818
0.300704	-0.361216	0.470000	10.223335
0.319178	-0.351781	0.475000	10.265949
0.337298	-0.341511	0.480000	10.308295
0.354783	-0.330687	0.485000	10.349640
0.371864	-0.319087	0.490000	10.390737
0.387547	-0.307948	0.495000	10.428455
0.402859	-0.296150	0.500000	10.465990
0.417581	-0.283991	0.505000	10.502664
0.431902	-0.271221	0.510000	10.539168
0.445080	-0.259092	0.515000	10.572728
0.457897	-0.246435	0.520000	10.606170
