time = 12.0001	Re = 1	40	80
0.189854	0.007459	0.070733	0
0.209838	0.008245	0.070733	1
0.229823	0.009030	0.068687	2
0.249807	0.009815	0.067047	3
0.269792	0.010600	0.065853	4
0.289776	0.011385	0.065089	5
0.309761	0.012171	0.064711	6
0.329746	0.012956	0.064661	7
0.349730	0.013741	0.064879	8
0.369715	0.014526	0.065304	9
0.389699	0.015311	0.065879	10
0.409684	0.016097	0.066554	11
0.429668	0.016882	0.067289	12
0.449653	0.017667	0.068051	13
0.469638	0.018452	0.068817	14
0.489622	0.019237	0.069576	15
0.509607	0.020023	0.070328	16
0.529591	0.020808	0.071086	17
0.549576	0.021593	0.071869	18
0.569561	0.022378	0.072711	19
0.589545	0.023163	0.073652	20
0.609530	0.023948	0.074741	21
0.629514	0.024734	0.076032	22
0.649499	0.025519	0.077590	23
0.669483	0.026304	0.079480	24
0.689468	0.027089	0.081778	25
0.709453	0.027874	0.084560	26
0.729437	0.028660	0.087908	27
0.749422	0.029445	0.091907	28
0.769406	0.030230	0.096643	29
0.789391	0.031015	0.102201	30
0.809376	0.031800	0.108670	31
0.829360	0.032586	0.116133	32
0.849345	0.033371	0.124676	33
0.869329	0.034156	0.134384	34
0.889314	0.034941	0.145341	35
0.909298	0.035726	0.157632	36
0.929283	0.036512	0.171344	37
0.949268	0.037297	0.186567	38
0.969252	0.038082	0.203393	39
0.989237	0.038867	0.221916	40
1.009221	0.039652	0.221916	41
0
0.188683	0.022332	0.181981	0
0.208544	0.024683	0.181981	1
0.228406	0.027034	0.177760	2
0.248267	0.029384	0.174402	3
0.268128	0.031735	0.171973	4
0.287990	0.034086	0.170437	5
0.307851	0.036437	0.169702	6
0.327713	0.038787	0.169652	7
0.347574	0.041138	0.170161	8
0.367435	0.043489	0.171102	9
0.387297	0.045840	0.172360	10
0.407158	0.048190	0.173826	11
0.427019	0.050541	0.175408	12
0.446881	0.052892	0.177027	13
0.466742	0.055243	0.178623	14
0.486604	0.057593	0.180155	15
0.506465	0.059944	0.181596	16
0.526326	0.062295	0.182942	17
0.546188	0.064646	0.184202	18
0.566049	0.066996	0.185404	19
0.585910	0.069347	0.186588	20
0.605772	0.071698	0.187811	21
0.625633	0.074049	0.189139	22
