time = 12.0001	Re = 1	40	80
0
0.208544	0.024683	0.012077	1
0.228406	0.027034	0.008005	2
0.248267	0.029384	0.004766	3
0.268128	0.031735	0.002212	4
0.287990	0.034086	0.000531	5
0.307851	0.036437	0.000132	6
0.327713	0.038787	0.001576	7
0.347574	0.041138	0.005535	8
0.367435	0.043489	0.012766	9
0.387297	0.045840	0.024093	10
0.407158	0.048190	0.040387	11
0.427019	0.050541	0.062559	12
0.446881	0.052892	0.091546	13
0.466742	0.055243	0.128299	14
0.486604	0.057593	0.173782	15
0.506465	0.059944	0.228956	16
0.526326	0.062295	0.294787	17
0.546188	0.064646	0.372232	18
0.566049	0.066996	0.462265	19
0.585910	0.069347	0.565834	20
0.605772	0.071698	0.683933	21
0.625633	0.074049	0.817600	22
0.645494	0.076399	0.967856	23
0.665356	0.078750	1.135826	24
0.685217	0.081101	1.322721	25
0.705079	0.083452	1.529848	26
0.724940	0.085802	1.758614	27
0.744801	0.088153	2.010630	28
0.764663	0.090504	2.287587	29
0.784524	0.092855	2.591330	30
0.804385	0.095206	2.923953	31
0.824247	0.097556	3.287616	32
0.844108	0.099907	3.684722	33
0.863970	0.102258	4.117860	34
0.883831	0.104609	4.589634	35
0.903692	0.106959	5.102747	36
0.923554	0.109310	5.660106	37
0.943415	0.111661	6.264666	38
0.963276	0.114012	6.919331	39
0.983138	0.116362	7.626824	40
1
0.205965	0.040969	0.011924	1
0.225581	0.044871	0.008064	2
0.245196	0.048772	0.004998	3
0.264812	0.052674	0.002497	4
0.284428	0.056576	0.000744	5
0.304043	0.060478	0.000170	6
0.323659	0.064380	0.001370	7
0.343275	0.068281	0.005051	8
0.362891	0.072183	0.012012	9
0.382506	0.076085	0.023118	10
0.402122	0.079987	0.039287	11
0.421738	0.083889	0.061472	12
0.441353	0.087790	0.090654	13
0.460969	0.091692	0.127824	14
0.480585	0.095594	0.173975	15
0.500201	0.099496	0.230089	16
0.519816	0.103398	0.297132	17
0.539432	0.107299	0.376044	18
0.559048	0.111201	0.467767	19
0.578663	0.115103	0.573189	20
0.598279	0.119005	0.693215	21
0.617895	0.122907	0.828788	22
0.637511	0.126808	0.980831	23
0.657126	0.130710	1.150341	24
0.676742	0.134612	1.338402	25
0.696358	0.138514	1.546223	26
0.715973	0.142416	1.775124	27
0.735589	0.146317	2.026607	28
0.755205	0.150219	2.302368	29
0.774820	0.154121	2.604268	30
0.794436	0.158023	2.934272	31
0.814052	0.161925	3.294730	32
0.833668	0.165826	3.688194	33
0.853283	0.169728	4.117282	34
0.872899	0.173630	4.584817	35
0.892515	0.177532	5.093684	36
0.912130	0.181434	5.647168	37
0.931746	0.185335	6.248397	38
0.951362	0.189237	6.900455	39
0.970978	0.193139	7.606670	40
2
0.202116	0.057002	0.011695	1
0.221365	0.062431	0.008172	2
0.240614	0.067860	0.005375	3
0.259863	0.073289	0.002961	4
0.279112	0.078718	0.001109	5
0.298361	0.084146	0.000284	6
0.317610	0.089575	0.001127	7
0.336859	0.095004	0.004400	8
0.356108	0.100433	0.010954	9
0.375358	0.105862	0.021716	10
0.394607	0.111290	0.037667	11
0.413856	0.116719	0.059830	12
0.433105	0.122148	0.089255	13
0.452354	0.127577	0.126996	14
0.471603	0.133006	0.174100	15
0.490852	0.138434	0.231586	16
0.510101	0.143863	0.300431	17
0.529350	0.149292	0.381569	18
0.548600	0.154721	0.475881	19
0.567849	0.160150	0.584170	20
0.587098	0.165578	0.707229	21
0.606347	0.171007	0.845840	22
0.625596	0.176436	1.000750	23
0.644845	0.181865	1.172770	24
0.664094	0.187294	1.362776	25
0.683343	0.192722	1.571858	26
0.702592	0.198151	1.801118	27
0.721842	0.203580	2.051897	28
0.741091	0.209009	2.325886	29
0.760340	0.214438	2.624874	30
0.779589	0.219866	2.950944	31
0.798838	0.225295	3.306421	32
0.818087	0.230724	3.694088	33
0.837336	0.236153	4.116751	34
0.856585	0.241582	4.577432	35
0.875834	0.247010	5.079567	36
0.895083	0.252439	5.626642	37
0.914333	0.257868	6.222176	38
0.933582	0.263297	6.869835	39
0.952831	0.268726	7.573429	40
3
0.197020	0.072685	0.011379	1
0.215784	0.079607	0.008359	2
0.234548	0.086529	0.005956	3
0.253312	0.093452	0.003676	4
0.272076	0.100374	0.001702	5
0.290839	0.107296	0.000548	6
0.309603	0.114219	0.000916	7
0.328367	0.121141	0.003631	8
0.347131	0.128063	0.009614	9
0.365895	0.134986	0.019869	10
0.384658	0.141908	0.035465	11
0.403422	0.148830	0.057520	12
0.422186	0.155753	0.087184	13
0.440950	0.162675	0.125614	14
0.459714	0.169597	0.173944	15
0.478478	0.176520	0.233265	16
0.497241	0.183442	0.304592	17
0.516005	0.190364	0.388851	18
0.534769	0.197287	0.486873	19
0.553533	0.204209	0.599354	20
0.572297	0.211131	0.726899	21
0.591061	0.218054	0.870068	22
0.609824	0.224976	1.029348	23
0.628588	0.231898	1.205290	24
0.647352	0.238821	1.398448	25
0.666116	0.245743	1.609572	26
0.684880	0.252665	1.839613	27
0.703644	0.259588	2.089679	28
0.722407	0.266510	2.361270	29
0.741171	0.273432	2.656125	30
0.759935	0.280355	2.976414	31
0.778699	0.287277	3.324637	32
0.797463	0.294199	3.703639	33
0.816227	0.301122	4.116639	34
0.834990	0.308044	4.567106	35
