time = 25.0001	Re = 0.1	40	80
0.189854	0.007459	1.815441	0
0.209838	0.008245	1.815441	1
0.229823	0.009030	1.824517	2
0.249807	0.009815	1.832934	3
0.269792	0.010600	1.840799	4
0.289776	0.011385	1.848188	5
0.309761	0.012171	1.855140	6
0.329746	0.012956	1.861669	7
0.349730	0.013741	1.867766	8
0.369715	0.014526	1.873410	9
0.389699	0.015311	1.878577	10
0.409684	0.016097	1.883240	11
0.429668	0.016882	1.887379	12
0.449653	0.017667	1.890979	13
0.469638	0.018452	1.894036	14
0.489622	0.019237	1.896554	15
0.509607	0.020022	1.898553	16
0.529591	0.020808	1.900065	17
0.549576	0.021593	1.901132	18
0.569561	0.022378	1.901811	19
0.589545	0.023163	1.902166	20
0.609530	0.023948	1.902270	21
0.629514	0.024734	1.902198	22
0.649499	0.025519	1.902030	23
0.669483	0.026304	1.901842	24
0.689468	0.027089	1.901710	25
0.709453	0.027874	1.901701	26
0.729437	0.028660	1.901879	27
0.749422	0.029445	1.902296	28
0.769406	0.030230	1.902999	29
0.789391	0.031015	1.904020	30
0.809376	0.031800	1.905385	31
0.829360	0.032586	1.907107	32
0.849345	0.033371	1.909186	33
0.869329	0.034156	1.911613	34
0.889314	0.034941	1.914367	35
0.909298	0.035726	1.917419	36
0.929283	0.036512	1.920731	37
0.949268	0.037297	1.924260	38
0.969252	0.038082	1.927958	39
0.989237	0.038867	1.931776	40
1.009221	0.039652	1.931776	41
0
0.188683	0.022332	1.895846	0
0.208544	0.024683	1.895846	1
0.228406	0.027034	1.906842	2
0.248267	0.029384	1.916782	3
0.268128	0.031735	1.925941	4
0.287990	0.034086	1.934493	5
0.307851	0.036437	1.942531	6
0.327713	0.038787	1.950089	7
0.347574	0.041138	1.957167	8
0.367435	0.043489	1.963738	9
0.387297	0.045840	1.969766	10
0.407158	0.048190	1.975210	11
0.427019	0.050541	1.980033	12
0.446881	0.052892	1.984205	13
0.466742	0.055243	1.987710	14
0.486604	0.057593	1.990544	15
0.506465	0.059944	1.992722	16
0.526326	0.062295	1.994276	17
0.546188	0.064646	1.995255	18
0.566049	0.066996	1.995723	19
0.585910	0.069347	1.995760	20
0.605772	0.071698	1.995454	21
0.625633	0.074048	1.994904	22
0.645495	0.076399	1.994210	23
0.665356	0.078750	1.993474	24
0.685217	0.081101	1.992798	25
0.705079	0.083451	1.992274	26
0.724940	0.085802	1.991991	27
0.744801	0.088153	1.992025	28
0.764663	0.090504	1.992441	29
0.784524	0.092854	1.993291	30
0.804385	0.095205	1.994609	31
0.824247	0.097556	1.996416	32
0.844108	0.099907	1.998715	33
0.863970	0.102257	2.001492	34
0.883831	0.104608	2.004722	35
0.903692	0.106959	2.008362	36
0.923554	0.109310	2.012362	37
0.943415	0.111660	2.016662	38
0.963276	0.114011	2.021195	39
0.983138	0.116362	2.025889	40
1.002999	0.118713	2.025889	41
1
