time = 25	Re = 0.5	40	80
0.197538	0.031287	0.000000	0
0.217291	0.034416	0.000025	1
0.237045	0.037544	0.000073	2
0.256799	0.040673	0.000108	3
0.276553	0.043802	0.000099	4
0.296307	0.046930	0.000014	5
0.316060	0.050059	-0.000177	6
0.335814	0.053188	-0.000503	7
0.355568	0.056316	-0.000995	8
0.375322	0.059445	-0.001679	9
0.395075	0.062574	-0.002586	10
0.414829	0.065702	-0.003744	11
0.434583	0.068831	-0.005181	12
0.454337	0.071960	-0.006925	13
0.474090	0.075088	-0.009004	14
0.493844	0.078217	-0.011446	15
0.513598	0.081346	-0.014279	16
0.533352	0.084475	-0.017528	17
0.553105	0.087603	-0.021222	18
0.572859	0.090732	-0.025386	19
0.592613	0.093861	-0.030046	20
0.612367	0.096989	-0.035227	21
0.632121	0.100118	-0.040956	22
0.651874	0.103247	-0.047255	23
0.671628	0.106375	-0.054149	24
0.691382	0.109504	-0.061661	25
0.711136	0.112633	-0.069815	26
0.730889	0.115761	-0.078633	27
0.750643	0.118890	-0.088138	28
0.770397	0.122019	-0.098351	29
0.790151	0.125147	-0.109296	30
0.809904	0.128276	-0.120994	31
0.829658	0.131405	-0.133468	32
0.849412	0.134534	-0.146739	33
0.869166	0.137662	-0.160830	34
0.888920	0.140791	-0.175765	35
0.908673	0.143920	-0.191566	36
0.928427	0.147048	-0.208257	37
0.948181	0.150177	-0.225862	38
0.967935	0.153306	-0.244406	39
0.987688	0.156434	-0.263914	40
1
0.194474	0.046689	0.000000	0
0.213921	0.051358	0.000028	1
0.233369	0.056027	0.000082	2
0.252816	0.060696	0.000127	3
0.272264	0.065365	0.000132	4
0.291711	0.070034	0.000065	5
0.311158	0.074702	-0.000105	6
0.330606	0.079371	-0.000407	7
0.350053	0.084040	-0.000871	8
0.369501	0.088709	-0.001527	9
0.388948	0.093378	-0.002402	10
0.408395	0.098047	-0.003527	11
0.427843	0.102716	-0.004930	12
0.447290	0.107385	-0.006640	13
0.466738	0.112054	-0.008687	14
0.486185	0.116723	-0.011098	15
0.505632	0.121391	-0.013902	16
0.525080	0.126060	-0.017126	17
0.544527	0.130729	-0.020799	18
0.563975	0.135398	-0.024947	19
0.583422	0.140067	-0.029597	20
0.602869	0.144736	-0.034774	21
0.622317	0.149405	-0.040504	22
0.641764	0.154074	-0.046810	23
0.661212	0.158743	-0.053718	24
0.680659	0.163412	-0.061249	25
0.700106	0.168081	-0.069427	26
0.719554	0.172749	-0.078274	27
0.739001	0.177418	-0.087812	28
0.758449	0.182087	-0.098061	29
0.777896	0.186756	-0.109043	30
0.797343	0.191425	-0.120779	31
0.816791	0.196094	-0.133291	32
0.836238	0.200763	-0.146599	33
0.855686	0.205432	-0.160724	34
0.875133	0.210101	-0.175689	35
0.894580	0.214770	-0.191516	36
0.914028	0.219438	-0.208228	37
0.933475	0.224107	-0.225849	38
0.952923	0.228776	-0.244402	39
0.972370	0.233445	-0.263914	40
2
0.190211	0.061803	0.000000	0
0.209232	0.067984	0.000031	1
0.228254	0.074164	0.000092	2
0.247275	0.080344	0.000149	3
0.266296	0.086525	0.000170	4
0.285317	0.092705	0.000123	5
0.304338	0.098885	-0.000022	6
0.323359	0.105066	-0.000295	7
0.342380	0.111246	-0.000726	8
0.361402	0.117426	-0.001345	9
0.380423	0.123607	-0.002180	10
0.399444	0.129787	-0.003263	11
0.418465	0.135967	-0.004623	12
0.437486	0.142148	-0.006289	13
0.456507	0.148328	-0.008293	14
0.475528	0.154508	-0.010662	15
0.494549	0.160689	-0.013427	16
0.513571	0.166869	-0.016617	17
0.532592	0.173049	-0.020260	18
0.551613	0.179230	-0.024384	19
0.570634	0.185410	-0.029016	20
0.589655	0.191590	-0.034184	21
0.608676	0.197771	-0.039912	22
0.627697	0.203951	-0.046225	23
0.646718	0.210131	-0.053147	24
0.665740	0.216312	-0.060701	25
0.684761	0.222492	-0.068909	26
0.703782	0.228672	-0.077792	27
0.722803	0.234853	-0.087372	28
0.741824	0.241033	-0.097667	29
0.760845	0.247213	-0.108699	30
0.779866	0.253394	-0.120486	31
0.798888	0.259574	-0.133048	32
0.817909	0.265754	-0.146405	33
0.836930	0.271935	-0.160577	34
0.855951	0.278115	-0.175584	35
0.874972	0.284295	-0.191447	36
0.893993	0.290476	-0.208189	37
0.913014	0.296656	-0.225831	38
0.932035	0.302836	-0.244398	39
0.951057	0.309017	-0.263914	40
3
0.184776	0.076537	0.000000	0
0.203254	0.084190	0.000034	1
0.221731	0.091844	0.000103	2
0.240209	0.099498	0.000173	3
0.258686	0.107151	0.000212	4
0.277164	0.114805	0.000188	5
0.295641	0.122459	0.000071	6
0.314119	0.130112	-0.000168	7
0.332597	0.137766	-0.000560	8
0.351074	0.145420	-0.001134	9
0.369552	0.153073	-0.001921	10
0.388029	0.160727	-0.002951	11
0.406507	0.168381	-0.004256	12
0.424985	0.176034	-0.005866	13
0.443462	0.183688	-0.007812	14
0.461940	0.191342	-0.010126	15
0.480417	0.198995	-0.012838	16
0.498895	0.206649	-0.015979	17
0.517373	0.214303	-0.019580	18
0.535850	0.221956	-0.023668	19
0.554328	0.229610	-0.028274	20
0.572805	0.237264	-0.033424	21
0.591283	0.244917	-0.039145	22
0.609761	0.252571	-0.045462	23
0.628238	0.260225	-0.052399	24
0.646716	0.267878	-0.059979	25
0.665193	0.275532	-0.068222	26
0.683671	0.283186	-0.077151	27
0.702149	0.290839	-0.086783	28
0.720626	0.298493	-0.097138	29
0.739104	0.306147	-0.108234	30
0.757581	0.313800	-0.120088	31
0.776059	0.321454	-0.132717	32
0.794537	0.329107	-0.146141	33
0.813014	0.336761	-0.160375	34
0.831492	0.344415	-0.175439	35
0.849969	0.352068	-0.191352	36
0.868447	0.359722	-0.208134	37
0.886924	0.367376	-0.225806	38
0.905402	0.375029	-0.244391	39
0.923880	0.382683	-0.263914	40
4
0.178201	0.090798	0.000000	0
0.196021	0.099878	0.000037	1
0.213842	0.108958	0.000114	2
0.231662	0.118037	0.000197	3
0.249482	0.127117	0.000255	4
0.267302	0.136197	0.000256	5
0.285122	0.145277	0.000171	6
0.302942	0.154357	-0.000029	7
0.320762	0.163436	-0.000375	8
0.338583	0.172516	-0.000897	9
0.356403	0.181596	-0.001625	10
0.374223	0.190676	-0.002591	11
0.392043	0.199756	-0.003826	12
0.409863	0.208835	-0.005364	13
0.427683	0.217915	-0.007237	14
0.445503	0.226995	-0.009477	15
0.463323	0.236075	-0.012119	16
0.481144	0.245155	-0.015194	17
