time = 25	Re = 0.5	40	80
0
0.208544	0.024683	0.000435	1
0.228406	0.027034	0.000389	2
0.248267	0.029384	0.001393	3
0.268128	0.031735	0.003776	4
0.287990	0.034086	0.007929	5
0.307851	0.036437	0.014288	6
0.327713	0.038787	0.023331	7
0.347574	0.041138	0.035567	8
0.367435	0.043489	0.051528	9
0.387297	0.045840	0.071766	10
0.407158	0.048190	0.096839	11
0.427019	0.050541	0.127310	12
0.446881	0.052892	0.163734	13
0.466742	0.055243	0.206652	14
0.486604	0.057593	0.256588	15
0.506465	0.059944	0.314044	16
0.526326	0.062295	0.379499	17
0.546188	0.064646	0.453415	18
0.566049	0.066996	0.536238	19
0.585910	0.069347	0.628413	20
0.605772	0.071698	0.730399	21
0.625633	0.074048	0.842685	22
0.645495	0.076399	0.965810	23
0.665356	0.078750	1.100390	24
0.685217	0.081101	1.247137	25
0.705079	0.083451	1.406886	26
0.724940	0.085802	1.580611	27
0.744801	0.088153	1.769445	28
0.764663	0.090504	1.974696	29
0.784524	0.092854	2.197859	30
0.804385	0.095205	2.440618	31
0.824247	0.097556	2.704852	32
0.844108	0.099907	2.992632	33
0.863970	0.102257	3.306212	34
0.883831	0.104608	3.648013	35
0.903692	0.106959	4.020611	36
0.923554	0.109310	4.426706	37
0.943415	0.111660	4.869098	38
0.963276	0.114011	5.350650	39
0.983138	0.116362	5.874253	40
1
0.205965	0.040969	0.000551	1
0.225581	0.044871	0.000544	2
0.245196	0.048773	0.001584	3
0.264812	0.052674	0.003984	4
0.284428	0.056576	0.008160	5
0.304043	0.060478	0.014588	6
0.323659	0.064380	0.023798	7
0.343275	0.068282	0.036355	8
0.362891	0.072183	0.052853	9
0.382506	0.076085	0.073902	10
0.402122	0.079987	0.100118	11
0.421738	0.083889	0.132109	12
0.441353	0.087791	0.170464	13
0.460969	0.091692	0.215740	14
0.480585	0.095594	0.268453	15
0.500201	0.099496	0.329070	16
0.519816	0.103398	0.398002	17
0.539432	0.107300	0.475613	18
0.559048	0.111201	0.562220	19
0.578663	0.115103	0.658110	20
0.598279	0.119005	0.763559	21
0.617895	0.122907	0.878859	22
0.637510	0.126809	1.004349	23
0.657126	0.130710	1.140444	24
0.676742	0.134612	1.287675	25
0.696358	0.138514	1.446719	26
0.715973	0.142416	1.618431	27
0.735589	0.146318	1.803870	28
0.755205	0.150219	2.004322	29
0.774820	0.154121	2.221316	30
0.794436	0.158023	2.456634	31
0.814052	0.161925	2.712313	32
0.833668	0.165827	2.990643	33
0.853283	0.169728	3.294158	34
0.872899	0.173630	3.625618	35
0.892515	0.177532	3.987986	36
0.912130	0.181434	4.384399	37
0.931746	0.185336	4.818133	38
0.951362	0.189237	5.292555	39
0.970977	0.193139	5.811082	40
2
0.202116	0.057002	0.000695	1
0.221365	0.062431	0.000712	2
0.240614	0.067860	0.001755	3
0.259863	0.073289	0.004119	4
0.279112	0.078718	0.008243	5
0.298361	0.084146	0.014651	6
0.317610	0.089575	0.023931	7
0.336859	0.095004	0.036722	8
0.356108	0.100433	0.053698	9
0.375358	0.105862	0.075553	10
0.394607	0.111290	0.102990	11
0.413856	0.116719	0.136695	12
0.433105	0.122148	0.177323	13
0.452354	0.127577	0.225475	14
0.471603	0.133006	0.281681	15
0.490852	0.138435	0.346384	16
0.510101	0.143863	0.419929	17
0.529350	0.149292	0.502560	18
0.548600	0.154721	0.594430	19
0.567849	0.160150	0.695612	20
0.587098	0.165579	0.806128	21
0.606347	0.171007	0.925988	22
0.625596	0.176436	1.055231	23
0.644845	0.181865	1.193976	24
0.664094	0.187294	1.342475	25
0.683343	0.192723	1.501165	26
0.702592	0.198151	1.670708	27
0.721841	0.203580	1.852041	28
0.741091	0.209009	2.046399	29
0.760340	0.214438	2.255343	30
0.779589	0.219867	2.480768	31
0.798838	0.225295	2.724912	32
0.818087	0.230724	2.990349	33
0.837336	0.236153	3.279976	34
0.856585	0.241582	3.596993	35
0.875834	0.247011	3.944875	36
0.895083	0.252439	4.327335	37
0.914333	0.257868	4.748284	38
0.933582	0.263297	5.211773	39
0.952831	0.268726	5.721935	40
3
0.197020	0.072685	0.000865	1
0.215784	0.079607	0.000866	2
0.234548	0.086529	0.001858	3
0.253312	0.093452	0.004114	4
0.272076	0.100374	0.008092	5
0.290839	0.107296	0.014362	6
0.309603	0.114219	0.023579	7
0.328367	0.121141	0.036464	8
0.347131	0.128063	0.053793	9
0.365895	0.134986	0.076377	10
0.384658	0.141908	0.105040	11
0.403422	0.148830	0.140593	12
0.422186	0.155753	0.183806	13
0.440950	0.162675	0.235372	14
0.459714	0.169597	0.295881	15
0.478478	0.176520	0.365782	16
0.497241	0.183442	0.445368	17
0.516005	0.190364	0.534757	18
0.534769	0.197287	0.633895	19
0.553533	0.204209	0.742572	20
0.572297	0.211131	0.860459	21
0.591061	0.218054	0.987156	22
0.609824	0.224976	1.122262	23
0.628588	0.231898	1.265448	24
0.647352	0.238821	1.416542	25
0.666116	0.245743	1.575604	26
0.684880	0.252665	1.743004	27
0.703644	0.259588	1.919472	28
0.722407	0.266510	2.106155	29
0.741171	0.273432	2.304636	30
0.759935	0.280355	2.516955	31
0.778699	0.287277	2.745608	32
0.797463	0.294199	2.993540	33
0.816227	0.301122	3.264122	34
0.834990	0.308044	3.561129	35
0.853754	0.314966	3.888706	36
0.872518	0.321889	4.251322	37
0.891282	0.328811	4.653729	38
0.910046	0.335733	5.100891	39
0.928810	0.342656	5.597916	40
4
0.190710	0.087918	0.001049	1
0.208873	0.096292	0.000974	2
0.227036	0.104665	0.001843	3
0.245199	0.113038	0.003902	4
0.263362	0.121411	0.007623	5
0.281524	0.129784	0.013615	6
0.299687	0.138158	0.022598	7
0.317850	0.146531	0.035384	8
0.336013	0.154904	0.052865	9
0.354176	0.163277	0.075998	10
0.372339	0.171650	0.105775	11
0.390502	0.180024	0.143191	12
0.408664	0.188397	0.189201	13
0.426827	0.196770	0.244672	14
0.444990	0.205143	0.310329	15
0.463153	0.213516	0.386698	16
0.481316	0.221889	0.474065	17
0.499479	0.230263	0.572434	18
0.517642	0.238636	0.681517	19
0.535805	0.247009	0.800740	20
0.553967	0.255382	0.929287	21
0.572130	0.263755	1.066172	22
0.590293	0.272129	1.210337	23
0.608456	0.280502	1.360772	24
0.626619	0.288875	1.516650	25
0.644782	0.297248	1.677449	26
0.662945	0.305621	1.843071	27
0.681107	0.313995	2.013931	28
0.699270	0.322368	2.191021	29
0.717433	0.330741	2.375946	30
0.735596	0.339114	2.570935	31
0.753759	0.347487	2.778835	32
0.771922	0.355860	3.003085	33
0.790085	0.364234	3.247688	34
0.808248	0.372607	3.517170	35
0.826410	0.380980	3.816547	36
0.844573	0.389353	4.151272	37
0.862736	0.397726	4.527189	38
0.880899	0.406100	4.950467	39
0.899062	0.414473	5.427518	40
5
0.183224	0.102610	0.001232	1
0.200674	0.112383	0.001012	2
0.218124	0.122155	0.001676	3
0.235574	0.131928	0.003443	4
0.253024	0.141700	0.006791	5
0.270474	0.151472	0.012355	6
0.287924	0.161245	0.020909	7
0.305374	0.171017	0.033350	8
0.322824	0.180790	0.050697	9
0.340274	0.190562	0.074074	10
0.357723	0.200335	0.104687	11
0.375173	0.210107	0.143786	12
0.392623	0.219879	0.192607	13
0.410073	0.229652	0.252306	14
0.427523	0.239424	0.323872	15
0.444973	0.249197	0.408038	16
0.462423	0.258969	0.505191	17
0.479873	0.268741	0.615287	18
0.497323	0.278514	0.737808	19
0.514773	0.288286	0.871740	20
0.532223	0.298059	1.015613	21
0.549673	0.307831	1.167598	22
0.567123	0.317604	1.325654	23
0.584572	0.327376	1.487725	24
0.602022	0.337148	1.651956	25
0.619472	0.346921	1.816905	26
0.636922	0.356693	1.981738	27
0.654372	0.366466	2.146368	28
0.671822	0.376238	2.311552	29
0.689272	0.386010	2.478926	30
0.706722	0.395783	2.651000	31
0.724172	0.405555	2.831121	32
0.741622	0.415328	3.023422	33
0.759072	0.425100	3.232756	34
0.776522	0.434873	3.464645	35
0.793972	0.444645	3.725224	36
0.811421	0.454417	4.021204	37
0.828871	0.464190	4.359819	38
0.846321	0.473962	4.748785	39
0.863771	0.483735	5.196217	40
6
0.174609	0.116670	0.001397	1
0.191238	0.127781	0.000986	2
0.207867	0.138892	0.001376	3
0.224497	0.150004	0.002767	4
0.241126	0.161115	0.005633	5
0.257756	0.172227	0.010624	6
0.274385	0.183338	0.018547	7
0.291014	0.194449	0.030369	8
0.307644	0.205561	0.047223	9
0.324273	0.216672	0.070407	10
0.340903	0.227784	0.101377	11
0.357532	0.238895	0.141704	12
0.374161	0.250006	0.193019	13
0.390791	0.261118	0.256924	14
0.407420	0.272229	0.334869	15
0.424050	0.283341	0.428013	16
0.440679	0.294452	0.537056	17
0.457308	0.305563	0.662088	18
0.473938	0.316675	0.802448	19
0.490567	0.327786	0.956651	20
0.507197	0.338898	1.122387	21
0.523826	0.350009	1.296636	22
0.540455	0.361120	1.475881	23
0.557085	0.372232	1.656430	24
0.573714	0.383343	1.834782	25
0.590344	0.394455	2.008015	26
0.606973	0.405566	2.174109	27
0.623602	0.416677	2.332193	28
0.640232	0.427789	2.482677	29
0.656861	0.438900	2.627280	30
0.673491	0.450012	2.768977	31
0.690120	0.461123	2.911892	32
0.706749	0.472234	3.061170	33
0.723379	0.483346	3.222857	34
0.740008	0.494457	3.403797	35
0.756638	0.505569	3.611566	36
0.773267	0.516680	3.854434	37
0.789896	0.527791	4.141345	38
0.806526	0.538903	4.481915	39
0.823155	0.550014	4.886406	40
7
0.164917	0.130010	0.001529	1
0.180623	0.142392	0.000952	2
0.196329	0.154773	0.001050	3
0.212036	0.167155	0.002008	4
0.227742	0.179537	0.004305	5
0.243448	0.191919	0.008601	6
0.259155	0.204301	0.015716	7
0.274861	0.216683	0.026651	8
0.290567	0.229065	0.042620	9
0.306274	0.241446	0.065076	10
0.321980	0.253828	0.095720	11
0.337686	0.266210	0.136493	12
0.353393	0.278592	0.189527	13
0.369099	0.290974	0.257051	14
0.384805	0.303356	0.341244	15
0.400512	0.315738	0.444028	16
0.416218	0.328120	0.566804	17
0.431925	0.340501	0.710163	18
0.447631	0.352883	0.873595	19
0.463337	0.365265	1.055254	20
0.479044	0.377647	1.251851	21
0.494750	0.390029	1.458727	22
0.510456	0.402411	1.670153	23
0.526163	0.414793	1.879837	24
0.541869	0.427175	2.081593	25
0.557575	0.439556	2.270037	26
0.573282	0.451938	2.441210	27
0.588988	0.464320	2.592999	28
0.604694	0.476702	2.725340	29
0.620401	0.489084	2.840199	30
0.636107	0.501466	2.941399	31
0.651813	0.513848	3.034352	32
0.667520	0.526229	3.125775	33
0.683226	0.538611	3.223439	34
0.698932	0.550993	3.335985	35
0.714639	0.563375	3.472815	36
0.730345	0.575757	3.644075	37
0.746051	0.588139	3.860694	38
0.761758	0.600521	4.134479	39
0.777464	0.612903	4.478214	40
8
0.154208	0.142548	0.001624	1
0.168894	0.156124	0.001033	2
0.183581	0.169700	0.000902	3
0.198267	0.183276	0.001416	4
0.212954	0.196852	0.003092	5
0.227640	0.210428	0.006608	6
0.242327	0.224004	0.012783	7
0.257013	0.237580	0.022616	8
0.271699	0.251156	0.037348	9
0.286386	0.264732	0.058521	10
0.301072	0.278308	0.088032	11
0.315759	0.291884	0.128174	12
0.330445	0.305460	0.181632	13
0.345132	0.319036	0.251425	14
0.359818	0.332612	0.340761	15
0.374505	0.346188	0.452785	16
0.389191	0.359764	0.590211	17
0.403878	0.373340	0.754830	18
0.418564	0.386916	0.946949	19
0.433251	0.400492	1.164838	20
0.447937	0.414068	1.404309	21
0.462623	0.427644	1.658603	22
0.477310	0.441220	1.918701	23
0.491996	0.454796	2.174130	24
0.506683	0.468372	2.414178	25
0.521369	0.481948	2.629260	26
0.536056	0.495524	2.812143	27
0.550742	0.509100	2.958749	28
0.565429	0.522676	3.068450	29
0.580115	0.536252	3.143902	30
0.594802	0.549828	3.190574	31
0.609488	0.563404	3.216137	32
0.624174	0.576980	3.229857	33
0.638861	0.590556	3.242097	34
0.653547	0.604132	3.263973	35
0.668234	0.617708	3.307187	36
0.682920	0.631284	3.384035	37
0.697607	0.644860	3.507555	38
0.712293	0.658436	3.691804	39
0.726980	0.672012	3.952201	40
9
0.142548	0.154208	0.001694	1
0.156124	0.168894	0.001392	2
0.169700	0.183581	0.001190	3
0.183276	0.198267	0.001303	4
0.196852	0.212953	0.002340	5
0.210428	0.227640	0.005027	6
0.224004	0.242326	0.010186	7
0.237580	0.257013	0.018792	8
0.251156	0.271699	0.032048	9
0.264732	0.286386	0.051493	10
0.278309	0.301072	0.079108	11
0.291885	0.315758	0.117425	12
0.305461	0.330445	0.169614	13
0.319037	0.345131	0.239526	14
0.332613	0.359818	0.331626	15
0.346189	0.374504	0.450791	16
0.359765	0.389191	0.601873	17
0.373341	0.403877	0.789010	18
0.386917	0.418564	1.014661	19
0.400493	0.433250	1.278455	20
0.414069	0.447936	1.576059	21
0.427645	0.462623	1.898424	22
0.441221	0.477309	2.231803	23
0.454797	0.491996	2.558897	24
0.468373	0.506682	2.861103	25
0.481949	0.521369	3.121370	26
