time = 25	Re = 1	40	80
0.189854	0.007459	1.775339	0
0.209838	0.008245	1.775339	1
0.229823	0.009030	1.784235	2
0.249807	0.009815	1.792499	3
0.269792	0.010600	1.800233	4
0.289776	0.011385	1.807509	5
0.309761	0.012171	1.814366	6
0.329746	0.012956	1.820815	7
0.349730	0.013741	1.826850	8
0.369715	0.014526	1.832457	9
0.389699	0.015311	1.837618	10
0.409684	0.016097	1.842319	11
0.429668	0.016882	1.846552	12
0.449653	0.017667	1.850320	13
0.469638	0.018452	1.853641	14
0.489622	0.019237	1.856545	15
0.509607	0.020023	1.859075	16
0.529591	0.020808	1.861291	17
0.549576	0.021593	1.863263	18
0.569561	0.022378	1.865078	19
0.589545	0.023163	1.866831	20
0.609530	0.023948	1.868629	21
0.629514	0.024734	1.870585	22
0.649499	0.025519	1.872817	23
0.669483	0.026304	1.875449	24
0.689468	0.027089	1.878598	25
0.709453	0.027874	1.882383	26
0.729437	0.028660	1.886914	27
0.749422	0.029445	1.892293	28
0.769406	0.030230	1.898614	29
0.789391	0.031015	1.905960	30
0.809376	0.031800	1.914404	31
0.829360	0.032586	1.924012	32
0.849345	0.033371	1.934837	33
0.869329	0.034156	1.946929	34
0.889314	0.034941	1.960326	35
0.909298	0.035726	1.975063	36
0.929283	0.036512	1.991169	37
0.949268	0.037297	2.008669	38
0.969252	0.038082	2.027588	39
0.989237	0.038867	2.047949	40
1.009221	0.039652	2.047949	41
0
0.188683	0.022332	1.856011	0
0.208544	0.024683	1.856011	1
0.228406	0.027034	1.866790	2
0.248267	0.029384	1.876552	3
0.268128	0.031735	1.885562	4
0.287990	0.034086	1.893988	5
0.307851	0.036437	1.901918	6
0.327713	0.038787	1.909387	7
0.347574	0.041138	1.916394	8
0.367435	0.043489	1.922917	9
0.387297	0.045840	1.928927	10
0.407158	0.048190	1.934395	11
0.427019	0.050541	1.939298	12
0.446881	0.052892	1.943625	13
0.466742	0.055243	1.947380	14
0.486604	0.057593	1.950583	15
0.506465	0.059944	1.953273	16
0.526326	0.062295	1.955508	17
0.546188	0.064646	1.957366	18
0.566049	0.066996	1.958940	19
0.585910	0.069347	1.960343	20
0.605772	0.071698	1.961700	21
0.625633	0.074049	1.963149	22
0.645494	0.076399	1.964834	23
0.665356	0.078750	1.966903	24
0.685217	0.081101	1.969501	25
0.705079	0.083452	1.972772	26
0.724940	0.085802	1.976849	27
0.744801	0.088153	1.981854	28
0.764663	0.090504	1.987901	29
0.784524	0.092855	1.995086	30
0.804385	0.095206	2.003495	31
0.824247	0.097556	2.013197	32
0.844108	0.099907	2.024250	33
0.863970	0.102258	2.036700	34
0.883831	0.104609	2.050577	35
0.903692	0.106959	2.065906	36
0.923554	0.109310	2.082699	37
0.943415	0.111661	2.100964	38
0.963276	0.114012	2.120704	39
0.983138	0.116362	2.141921	40
1.002999	0.118713	2.141921	41
1
0.186349	0.037067	1.936922	0
0.205965	0.040969	1.936922	1
0.225581	0.044871	1.949450	2
0.245196	0.048772	1.960599	3
0.264812	0.052674	1.970823	4
0.284428	0.056576	1.980389	5
0.304043	0.060478	1.989432	6
0.323659	0.064380	1.998002	7
0.343275	0.068281	2.006094	8
0.362891	0.072183	2.013671	9
0.382506	0.076085	2.020683	10
0.402122	0.079987	2.027075	11
0.421738	0.083889	2.032799	12
0.441353	0.087790	2.037820	13
0.460969	0.091692	2.042119	14
0.480585	0.095594	2.045700	15
0.500201	0.099496	2.048591	16
0.519816	0.103398	2.050844	17
0.539432	0.107299	2.052540	18
0.559048	0.111201	2.053784	19
0.578663	0.115103	2.054704	20
0.598279	0.119005	2.055451	21
0.617895	0.122907	2.056191	22
0.637511	0.126808	2.057099	23
0.657126	0.130710	2.058360	24
0.676742	0.134612	2.060154	25
0.696358	0.138514	2.062660	26
0.715973	0.142416	2.066044	27
0.735589	0.146317	2.070462	28
0.755205	0.150219	2.076052	29
0.774820	0.154121	2.082935	30
0.794436	0.158023	2.091213	31
0.814052	0.161925	2.100968	32
0.833668	0.165826	2.112261	33
0.853283	0.169728	2.125134	34
0.872899	0.173630	2.139612	35
0.892515	0.177532	2.155703	36
0.912130	0.181434	2.173398	37
0.931746	0.185335	2.192683	38
0.951362	0.189237	2.213532	39
0.970978	0.193139	2.235918	40
