time = 25	Re = 50	40	80
0.189414	0.014907	0.003415	0
0.209353	0.016476	-0.003415	1
0.229291	0.018046	-0.007801	2
0.249229	0.019615	-0.010007	3
0.269168	0.021184	-0.010217	4
0.289106	0.022753	-0.008562	5
0.309044	0.024322	-0.005135	6
0.328983	0.025891	-0.000002	7
0.348921	0.027461	0.006788	8
0.368859	0.029030	0.015196	9
0.388798	0.030599	0.025194	10
0.408736	0.032168	0.036758	11
0.428674	0.033737	0.049866	12
0.448613	0.035307	0.064497	13
0.468551	0.036876	0.080632	14
0.488489	0.038445	0.098250	15
0.508428	0.040014	0.117330	16
0.528366	0.041583	0.137850	17
0.548305	0.043152	0.159788	18
0.568243	0.044722	0.183121	19
0.588181	0.046291	0.207827	20
0.608120	0.047860	0.233884	21
0.628058	0.049429	0.261274	22
0.647996	0.050998	0.289978	23
0.667935	0.052568	0.319982	24
0.687873	0.054137	0.351273	25
0.707811	0.055706	0.383842	26
0.727750	0.057275	0.417683	27
0.747688	0.058844	0.452792	28
0.767626	0.060413	0.489169	29
0.787565	0.061983	0.526814	30
0.807503	0.063552	0.565733	31
0.827441	0.065121	0.605929	32
0.847380	0.066690	0.647408	33
0.867318	0.068259	0.690176	34
0.887256	0.069829	0.734238	35
0.907195	0.071398	0.779600	36
0.927133	0.072967	0.826265	37
0.947071	0.074536	0.874234	38
0.967010	0.076105	0.923505	39
0.986948	0.077674	0.974073	40
1.006887	0.079244	1.025927	41
0
0.187661	0.029723	0.003471	0
0.207415	0.032851	-0.003471	1
0.227168	0.035980	-0.007950	2
0.246922	0.039109	-0.010244	3
0.266676	0.042237	-0.010544	4
0.286430	0.045366	-0.008981	5
0.306183	0.048495	-0.005645	6
0.325937	0.051623	-0.000600	7
0.345691	0.054752	0.006108	8
0.365445	0.057881	0.014447	9
0.385198	0.061009	0.024391	10
0.404952	0.064138	0.035921	11
0.424706	0.067267	0.049016	12
0.444460	0.070395	0.063660	13
0.464214	0.073524	0.079833	14
0.483967	0.076653	0.097513	15
0.503721	0.079782	0.116680	16
0.523475	0.082910	0.137308	17
0.543229	0.086039	0.159371	18
0.562982	0.089168	0.182843	19
0.582736	0.092296	0.207698	20
0.602490	0.095425	0.233907	21
0.622244	0.098554	0.261448	22
0.641997	0.101682	0.290296	23
0.661751	0.104811	0.320433	24
0.681505	0.107940	0.351841	25
0.701259	0.111068	0.384509	26
0.721013	0.114197	0.418427	27
0.740766	0.117326	0.453591	28
0.760520	0.120454	0.490000	29
0.780274	0.123583	0.527655	30
0.800028	0.126712	0.566562	31
0.819781	0.129840	0.606727	32
0.839535	0.132969	0.648157	33
0.859289	0.136098	0.690861	34
0.879043	0.139227	0.734846	35
0.898796	0.142355	0.780120	36
0.918550	0.145484	0.826686	37
0.938304	0.148613	0.874548	38
0.958058	0.151741	0.923702	39
0.977811	0.154870	0.974143	40
0.997565	0.157999	1.025857	41
1
0.184750	0.044355	0.003527	0
0.204198	0.049023	-0.003527	1
0.223645	0.053692	-0.008101	2
0.243092	0.058361	-0.010490	3
0.262540	0.063030	-0.010892	4
0.281987	0.067699	-0.009438	5
0.301435	0.072368	-0.006218	6
0.320882	0.077037	-0.001290	7
0.340329	0.081706	0.005307	8
0.359777	0.086375	0.013546	9
0.379224	0.091044	0.023408	10
0.398672	0.095713	0.034877	11
0.418119	0.100381	0.047939	12
0.437566	0.105050	0.062581	13
0.457014	0.109719	0.078784	14
0.476461	0.114388	0.096528	15
0.495909	0.119057	0.115791	16
0.515356	0.123726	0.136546	17
0.534803	0.128395	0.158763	18
0.554251	0.133064	0.182410	19
0.573698	0.137733	0.207453	20
0.593146	0.142402	0.233861	21
0.612593	0.147070	0.261600	22
0.632040	0.151739	0.290640	23
0.651488	0.156408	0.320956	24
0.670935	0.161077	0.352526	25
0.690383	0.165746	0.385330	26
0.709830	0.170415	0.419359	27
0.729277	0.175084	0.454604	28
0.748725	0.179753	0.491063	29
0.768172	0.184422	0.528739	30
0.787620	0.189091	0.567637	31
0.807067	0.193759	0.607766	32
0.826514	0.198428	0.649137	33
0.845962	0.203097	0.691760	34
0.865409	0.207766	0.735646	35
0.884857	0.212435	0.780805	36
0.904304	0.217104	0.827243	37
0.923751	0.221773	0.874963	38
0.943199	0.226442	0.923964	39
0.962646	0.231111	0.974236	40
0.982094	0.235780	1.025764	41
2
0.180701	0.058713	0.003579	0
0.199722	0.064894	-0.003579	1
0.218743	0.071074	-0.008241	2
0.237764	0.077254	-0.010727	3
0.256785	0.083435	-0.011242	4
0.275806	0.089615	-0.009921	5
0.294828	0.095795	-0.006846	6
0.313849	0.101976	-0.002070	7
0.332870	0.108156	0.004377	8
0.351891	0.114336	0.012474	9
0.370912	0.120517	0.022212	10
0.389933	0.126697	0.033583	11
0.408954	0.132877	0.046580	12
0.427975	0.139058	0.061194	13
0.446997	0.145238	0.077412	14
0.466018	0.151418	0.095216	15
0.485039	0.157599	0.114583	16
0.504060	0.163779	0.135483	17
0.523081	0.169959	0.157884	18
0.542102	0.176140	0.181747	19
0.561123	0.182320	0.207030	20
0.580145	0.188500	0.233693	21
0.599166	0.194681	0.261693	22
0.618187	0.200861	0.290991	23
0.637208	0.207041	0.321550	24
0.656229	0.213222	0.353341	25
0.675250	0.219402	0.386337	26
0.694271	0.225582	0.420523	27
0.713292	0.231763	0.455886	28
0.732314	0.237943	0.492423	29
0.751335	0.244123	0.530136	30
0.770356	0.250304	0.569032	31
0.789377	0.256484	0.609122	32
0.808398	0.262664	0.650420	33
0.827419	0.268845	0.692941	34
0.846440	0.275025	0.736700	35
0.865462	0.281205	0.781709	36
0.884483	0.287386	0.827979	37
0.903504	0.293566	0.875514	38
0.922525	0.299746	0.924311	39
0.941546	0.305927	0.974361	40
0.960567	0.312107	1.025639	41
3
0.175537	0.072710	0.003619	0
0.194015	0.080363	-0.003619	1
0.212492	0.088017	-0.008353	2
0.230970	0.095671	-0.010932	3
0.249448	0.103324	-0.011572	4
0.267925	0.110978	-0.010406	5
0.286403	0.118632	-0.007511	6
0.304880	0.126285	-0.002932	7
0.323358	0.133939	0.003312	8
0.341835	0.141593	0.011213	9
0.360313	0.149246	0.020771	10
0.378791	0.156900	0.031991	11
0.397268	0.164554	0.044874	12
0.415746	0.172207	0.059422	13
0.434223	0.179861	0.075626	14
0.452701	0.187515	0.093474	15
0.471179	0.195168	0.112945	16
0.489656	0.202822	0.134007	17
0.508134	0.210476	0.156625	18
0.526611	0.218129	0.180751	19
0.545089	0.225783	0.206338	20
0.563567	0.233437	0.233330	21
0.582044	0.241090	0.261672	22
0.600522	0.248744	0.291313	23
0.618999	0.256398	0.322203	24
0.637477	0.264051	0.354297	25
0.655955	0.271705	0.387562	26
0.674432	0.279359	0.421971	27
0.692910	0.287012	0.457507	28
0.711387	0.294666	0.494162	29
0.729865	0.302320	0.531938	30
0.748343	0.309973	0.570843	31
0.766820	0.317627	0.610892	32
0.785298	0.325281	0.652103	33
0.803775	0.332934	0.694496	34
0.822253	0.340588	0.738091	35
0.840730	0.348242	0.782906	36
0.859208	0.355895	0.828955	37
0.877686	0.363549	0.876245	38
0.896163	0.371203	0.924773	39
0.914641	0.378856	0.974526	40
0.933118	0.386510	1.025474	41
4
0.169291	0.086258	0.003637	0
0.187111	0.095338	-0.003637	1
0.204932	0.104418	-0.008415	2
0.222752	0.113498	-0.011075	3
0.240572	0.122577	-0.011847	4
0.258392	0.131657	-0.010861	5
0.276212	0.140737	-0.008188	6
0.294032	0.149817	-0.003859	7
0.311852	0.158897	0.002119	8
0.329672	0.167976	0.009752	9
0.347493	0.177056	0.019056	10
0.365313	0.186136	0.030051	11
0.383133	0.195216	0.042751	12
0.400953	0.204296	0.057171	13
0.418773	0.213375	0.073314	14
0.436593	0.222455	0.091174	15
0.454413	0.231535	0.110736	16
0.472234	0.240615	0.131970	17
0.490054	0.249695	0.154835	18
0.507874	0.258774	0.179280	19
0.525694	0.267854	0.205243	20
0.543514	0.276934	0.232656	21
0.561334	0.286014	0.261448	22
0.579154	0.295094	0.291547	23
0.596974	0.304173	0.322884	24
0.614795	0.313253	0.355399	25
0.632615	0.322333	0.389039	26
0.650435	0.331413	0.423766	27
0.668255	0.340493	0.459552	28
0.686075	0.349572	0.496386	29
0.703895	0.358652	0.534265	30
0.721715	0.367732	0.573199	31
0.739536	0.376812	0.613208	32
0.757356	0.385892	0.654314	33
0.775176	0.394971	0.696546	34
0.792996	0.404051	0.739931	35
0.810816	0.413131	0.784494	36
0.828636	0.422211	0.830253	37
0.846456	0.431291	0.877218	38
0.864277	0.440370	0.925389	39
0.882097	0.449450	0.974747	40
0.899917	0.458530	1.025253	41
5
0.162002	0.099275	0.003621	0
0.179054	0.109725	-0.003621	1
0.196107	0.120175	-0.008395	2
0.213160	0.130625	-0.011118	3
0.230213	0.141075	-0.012024	4
0.247266	0.151524	-0.011243	5
0.264319	0.161974	-0.008836	6
0.281371	0.172424	-0.004821	7
0.298424	0.182874	0.000813	8
0.315477	0.193324	0.008089	9
0.332530	0.203774	0.017044	10
0.349583	0.214224	0.027713	11
0.366635	0.224674	0.040134	12
0.383688	0.235124	0.054337	13
0.400741	0.245574	0.070342	14
0.417794	0.256024	0.088157	15
0.434847	0.266474	0.107776	16
0.451899	0.276924	0.129174	17
0.468952	0.287374	0.152312	18
0.486005	0.297824	0.177130	19
0.503058	0.308274	0.203557	20
0.520111	0.318724	0.231506	21
0.537163	0.329174	0.260884	22
0.554216	0.339624	0.291593	23
0.571269	0.350074	0.323539	24
0.588322	0.360524	0.356633	25
0.605375	0.370974	0.390800	26
0.622427	0.381424	0.425981	27
0.639480	0.391874	0.462132	28
0.656533	0.402324	0.499231	29
0.673586	0.412774	0.537274	30
0.690639	0.423224	0.576271	31
0.707692	0.433673	0.616244	32
0.724744	0.444123	0.657227	33
0.741797	0.454573	0.699257	34
0.758850	0.465023	0.742370	35
0.775903	0.475473	0.786602	36
0.792956	0.485923	0.831979	37
0.810008	0.496373	0.878515	38
0.827061	0.506823	0.926211	39
0.844114	0.517273	0.975042	40
0.861167	0.527723	1.024958	41
6
0.153713	0.111679	0.003555	0
0.169894	0.123435	-0.003555	1
0.186074	0.135191	-0.008262	2
0.202254	0.146946	-0.011013	3
0.218435	0.158702	-0.012049	4
0.234615	0.170458	-0.011496	5
0.250795	0.182213	-0.009403	6
0.266976	0.193969	-0.005771	7
0.283156	0.205725	-0.000572	8
0.299336	0.217480	0.006240	9
0.315517	0.229236	0.014723	10
0.331697	0.240992	0.024939	11
0.347877	0.252747	0.036949	12
0.364058	0.264503	0.050807	13
0.380238	0.276259	0.066558	14
0.396418	0.288015	0.084232	15
0.412599	0.299770	0.103838	16
0.428779	0.311526	0.125367	17
0.444960	0.323282	0.148782	18
0.461140	0.335037	0.174024	19
0.477320	0.346793	0.201009	20
0.493501	0.358549	0.229631	21
0.509681	0.370304	0.259769	22
0.525861	0.382060	0.291292	23
0.542042	0.393816	0.324065	24
0.558222	0.405572	0.357963	25
0.574402	0.417327	0.392871	26
0.590583	0.429083	0.428700	27
0.606763	0.440839	0.465381	28
0.622943	0.452594	0.502877	29
0.639124	0.464350	0.541175	30
0.655304	0.476106	0.580284	31
0.671484	0.487861	0.620237	32
0.687665	0.499617	0.661074	33
0.703845	0.511373	0.702848	34
0.720025	0.523128	0.745610	35
0.736206	0.534884	0.789409	36
0.752386	0.546640	0.834281	37
0.768566	0.558396	0.880248	38
0.784747	0.570151	0.927310	39
0.800927	0.581907	0.975437	40
0.817107	0.593663	1.024563	41
7
0.144477	0.123395	0.003423	0
0.159685	0.136384	-0.003423	1
0.174893	0.149373	-0.007979	2
0.190102	0.162362	-0.010711	3
0.205310	0.175351	-0.011864	4
0.220518	0.188340	-0.011553	5
0.235726	0.201329	-0.009818	6
0.250934	0.214318	-0.006642	7
0.266142	0.227307	-0.001978	8
0.281350	0.240296	0.004246	9
0.296558	0.253285	0.012112	10
0.311767	0.266274	0.021711	11
0.326975	0.279262	0.033135	12
0.342183	0.292251	0.046472	13
0.357391	0.305240	0.061799	14
0.372599	0.318229	0.079178	15
0.387807	0.331218	0.098649	16
0.403015	0.344207	0.120225	17
0.418223	0.357196	0.143887	18
0.433432	0.370185	0.169581	19
0.448640	0.383174	0.197217	20
0.463848	0.396163	0.226671	21
0.479056	0.409152	0.257788	22
0.494264	0.422141	0.290390	23
0.509472	0.435130	0.324290	24
0.524680	0.448119	0.359304	25
0.539889	0.461108	0.395260	26
0.555097	0.474097	0.432018	27
0.570305	0.487086	0.469472	28
0.585513	0.500075	0.507556	29
0.600721	0.513064	0.546244	30
0.615929	0.526053	0.585546	31
0.631137	0.539042	0.625501	32
0.646345	0.552030	0.666168	33
0.661554	0.565019	0.707618	34
0.676762	0.578008	0.749923	35
0.691970	0.590997	0.793151	36
0.707178	0.603986	0.837354	37
0.722386	0.616975	0.882564	38
0.737594	0.629964	0.928781	39
0.752802	0.642953	0.975967	40
0.768010	0.655942	1.024033	41
8
0.134350	0.134350	0.003209	0
0.148493	0.148492	-0.003209	1
0.162635	0.162634	-0.007509	2
0.176777	0.176777	-0.010163	3
0.190919	0.190919	-0.011405	4
0.205061	0.205061	-0.011341	5
0.219203	0.219203	-0.009998	6
0.233345	0.233345	-0.007346	7
0.247488	0.247487	-0.003318	8
0.261630	0.261629	0.002181	9
0.275772	0.275771	0.009263	10
0.289914	0.289914	0.018048	11
0.304056	0.304056	0.028667	12
0.318198	0.318198	0.041246	13
0.332340	0.332340	0.055908	14
0.346483	0.346482	0.072761	15
0.360625	0.360624	0.091891	16
0.374767	0.374766	0.113351	17
0.388909	0.388908	0.137159	18
0.403051	0.403051	0.163284	19
0.417193	0.417193	0.191642	20
0.431335	0.431335	0.222096	21
0.445478	0.445477	0.254456	22
0.459620	0.459619	0.288486	23
0.473762	0.473761	0.323923	24
0.487904	0.487903	0.360495	25
0.502046	0.502045	0.397942	26
0.516188	0.516188	0.436042	27
0.530330	0.530330	0.474623	28
0.544473	0.544472	0.513577	29
0.558615	0.558614	0.552857	30
0.572757	0.572756	0.592469	31
0.586899	0.586898	0.632466	32
0.601041	0.601040	0.672932	33
0.615183	0.615182	0.713966	34
0.629325	0.629325	0.755673	35
0.643468	0.643467	0.798146	36
0.657610	0.657609	0.841461	37
0.671752	0.671751	0.885661	38
0.685894	0.685893	0.930750	39
0.700036	0.700035	0.976677	40
0.714178	0.714177	1.023323	41
9
0.123395	0.144477	0.002900	0
0.136384	0.159685	-0.002900	1
0.149373	0.174893	-0.006828	2
0.162362	0.190101	-0.009329	3
0.175351	0.205309	-0.010617	4
0.188340	0.220518	-0.010786	5
0.201329	0.235726	-0.009851	6
0.214318	0.250934	-0.007772	7
0.227307	0.266142	-0.004470	8
0.240296	0.281350	0.000170	9
0.253285	0.296558	0.006287	10
0.266274	0.311766	0.014037	11
0.279263	0.326974	0.023584	12
0.292252	0.342182	0.035104	13
0.305241	0.357391	0.048774	14
0.318230	0.372599	0.064764	15
0.331219	0.387807	0.083226	16
0.344208	0.403015	0.104282	17
0.357197	0.418223	0.128015	18
0.370186	0.433431	0.154447	19
0.383175	0.448639	0.183530	20
0.396164	0.463847	0.215135	21
0.409153	0.479055	0.249041	22
0.422142	0.494264	0.284948	23
0.435131	0.509472	0.322485	24
0.448120	0.524680	0.361247	25
0.461109	0.539888	0.400831	26
0.474097	0.555096	0.440880	27
0.487086	0.570304	0.481116	28
0.500075	0.585512	0.521356	29
0.513064	0.600720	0.561520	30
0.526053	0.615928	0.601612	31
0.539042	0.631137	0.641708	32
0.552031	0.646345	0.681930	33
0.565020	0.661553	0.722424	34
0.578009	0.676761	0.763339	35
0.590998	0.691969	0.804811	36
0.603987	0.707177	0.846944	37
0.616976	0.722385	0.889801	38
0.629965	0.737593	0.933385	39
0.642954	0.752801	0.977629	40
0.655943	0.768010	1.022371	41
10
0.111679	0.153713	0.002492	0
0.123435	0.169893	-0.002492	1
0.135191	0.186074	-0.005926	2
0.146946	0.202254	-0.008190	3
0.158702	0.218434	-0.009465	4
0.170458	0.234615	-0.009829	5
0.182214	0.250795	-0.009289	6
0.193969	0.266975	-0.007803	7
0.205725	0.283156	-0.005285	8
0.217481	0.299336	-0.001612	9
0.229236	0.315516	0.003373	10
0.240992	0.331697	0.009853	11
0.252748	0.347877	0.018032	12
0.264504	0.364057	0.028131	13
0.276259	0.380238	0.040388	14
0.288015	0.396418	0.055048	15
0.299771	0.412598	0.072355	16
0.311527	0.428779	0.092532	17
0.323282	0.444959	0.115768	18
0.335038	0.461139	0.142194	19
0.346794	0.477320	0.171851	20
0.358549	0.493500	0.204667	21
0.370305	0.509680	0.240430	22
0.382061	0.525861	0.278772	23
0.393817	0.542041	0.319186	24
0.405572	0.558221	0.361057	25
0.417328	0.574402	0.403743	26
0.429084	0.590582	0.446655	27
0.440839	0.606762	0.489329	28
0.452595	0.622943	0.531466	29
0.464351	0.639123	0.572932	30
0.476107	0.655303	0.613739	31
0.487862	0.671484	0.654003	32
0.499618	0.687664	0.693914	33
0.511374	0.703844	0.733689	34
0.523129	0.720025	0.773548	35
0.534885	0.736205	0.813684	36
0.546641	0.752385	0.854246	37
0.558397	0.768566	0.895316	38
0.570152	0.784746	0.936899	39
0.581908	0.800926	0.978900	40
0.593664	0.817107	1.021100	41
11
0.099275	0.162002	0.001993	0
0.109725	0.179054	-0.001993	1
0.120175	0.196107	-0.004823	2
0.130625	0.213160	-0.006763	3
0.141075	0.230213	-0.007949	4
0.151525	0.247266	-0.008441	5
0.161975	0.264318	-0.008247	6
0.172425	0.281371	-0.007326	7
0.182875	0.298424	-0.005599	8
0.193325	0.315477	-0.002947	9
0.203775	0.332529	0.000788	10
0.214225	0.349582	0.005798	11
0.224675	0.366635	0.012317	12
0.235125	0.383688	0.020604	13
0.245575	0.400741	0.030948	14
0.256025	0.417793	0.043678	15
0.266475	0.434846	0.059142	16
0.276925	0.451899	0.077702	17
0.287375	0.468952	0.099711	18
0.297825	0.486005	0.125481	19
0.308275	0.503057	0.155244	20
0.318725	0.520110	0.189094	21
0.329175	0.537163	0.226920	22
0.339625	0.554216	0.268350	23
0.350075	0.571269	0.312711	24
0.360525	0.588321	0.359067	25
0.370975	0.605374	0.406340	26
0.381424	0.622427	0.453514	27
0.391874	0.639480	0.499803	28
0.402324	0.656533	0.544719	29
0.412774	0.673585	0.588063	30
0.423224	0.690638	0.629878	31
0.433674	0.707691	0.670371	32
0.444124	0.724744	0.709845	33
0.454574	0.741797	0.748637	34
0.465024	0.758849	0.787072	35
0.475474	0.775902	0.825427	36
0.485924	0.792955	0.863906	37
0.496374	0.810008	0.902617	38
0.506824	0.827061	0.941558	39
0.517274	0.844113	0.980591	40
0.527724	0.861166	1.019409	41
12
0.086258	0.169291	0.001432	0
0.095338	0.187111	-0.001432	1
0.104418	0.204931	-0.003579	2
0.113498	0.222752	-0.005117	3
0.122578	0.240572	-0.006127	4
0.131657	0.258392	-0.006657	5
0.140737	0.276212	-0.006715	6
0.149817	0.294032	-0.006274	7
0.158897	0.311852	-0.005270	8
0.167977	0.329672	-0.003605	9
0.177057	0.347492	-0.001142	10
0.186136	0.365313	0.002300	11
0.195216	0.383133	0.006944	12
0.204296	0.400953	0.013069	13
0.213376	0.418773	0.020994	14
0.222456	0.436593	0.031104	15
0.231536	0.454413	0.043851	16
0.240615	0.472233	0.059747	17
0.249695	0.490053	0.079357	18
0.258775	0.507873	0.103275	19
0.267855	0.525694	0.132071	20
0.276935	0.543514	0.166210	21
0.286015	0.561334	0.205927	22
0.295094	0.579154	0.251055	23
0.304174	0.596974	0.300839	24
0.313254	0.614794	0.353837	25
0.322334	0.632614	0.408087	26
0.331414	0.650434	0.461727	27
0.340493	0.668255	0.513387	28
0.349573	0.686075	0.562304	29
0.358653	0.703895	0.608248	30
0.367733	0.721715	0.651376	31
0.376813	0.739535	0.692084	32
0.385893	0.757355	0.730879	33
0.394972	0.775175	0.768290	34
0.404052	0.792995	0.804795	35
0.413132	0.810816	0.840786	36
0.422212	0.828636	0.876533	37
0.431292	0.846456	0.912169	38
0.440372	0.864276	0.947667	39
0.449451	0.882096	0.982816	40
0.458531	0.899916	1.017184	41
13
0.072710	0.175537	0.000864	0
0.080364	0.194015	-0.000864	1
0.088017	0.212492	-0.002303	2
0.095671	0.230970	-0.003384	3
0.103325	0.249447	-0.004137	4
0.110978	0.267925	-0.004599	5
0.118632	0.286403	-0.004784	6
0.126286	0.304880	-0.004679	7
0.133940	0.323358	-0.004246	8
0.141593	0.341835	-0.003418	9
0.149247	0.360313	-0.002099	10
0.156901	0.378790	-0.000152	11
0.164554	0.397268	0.002603	12
0.172208	0.415746	0.006400	13
0.179862	0.434223	0.011548	14
0.187515	0.452701	0.018430	15
0.195169	0.471178	0.027533	16
0.202823	0.489656	0.039480	17
0.210476	0.508134	0.055038	18
0.218130	0.526611	0.075133	19
0.225784	0.545089	0.100838	20
0.233437	0.563566	0.133311	21
0.241091	0.582044	0.173637	22
0.248745	0.600521	0.222506	23
0.256399	0.618999	0.279636	24
0.264052	0.637477	0.342985	25
0.271706	0.655954	0.408351	26
0.279360	0.674432	0.471980	27
0.287013	0.692909	0.531522	28
0.294667	0.711387	0.585956	29
0.302321	0.729865	0.635216	30
0.309974	0.748342	0.679805	31
0.317628	0.766820	0.720504	32
0.325282	0.785297	0.758171	33
0.332935	0.803775	0.793616	34
0.340589	0.822252	0.827530	35
0.348243	0.840730	0.860440	36
0.355896	0.859208	0.892686	37
0.363550	0.877685	0.924408	38
0.371204	0.896163	0.955521	39
0.378858	0.914640	0.985694	40
0.386511	0.933118	1.014306	41
14
0.058713	0.180701	0.000373	0
0.064894	0.199722	-0.000373	1
0.071074	0.218743	-0.001155	2
0.077255	0.237764	-0.001768	3
0.083435	0.256785	-0.002212	4
0.089615	0.275806	-0.002515	5
0.095796	0.294827	-0.002693	6
