time = 12.001	Re = 0.5	40	80
0.189414	0.014907	0.005991	0
0.209353	0.016476	-0.005991	1
0.229291	0.018046	-0.014837	2
0.249229	0.019615	-0.021016	3
0.269168	0.021184	-0.024839	4
0.289106	0.022753	-0.026519	5
0.309044	0.024322	-0.026203	6
0.328983	0.025891	-0.023991	7
0.348921	0.027461	-0.019954	8
0.368859	0.029030	-0.014140	9
0.388798	0.030599	-0.006583	10
0.408736	0.032168	0.002693	11
0.428674	0.033737	0.013672	12
0.448613	0.035307	0.026341	13
0.468551	0.036876	0.040689	14
0.488489	0.038445	0.056709	15
0.508428	0.040014	0.074391	16
0.528366	0.041583	0.093727	17
0.548305	0.043152	0.114707	18
0.568243	0.044722	0.137320	19
0.588181	0.046291	0.161556	20
0.608120	0.047860	0.187402	21
0.628058	0.049429	0.214844	22
0.647996	0.050998	0.243871	23
0.667935	0.052568	0.274468	24
0.687873	0.054137	0.306623	25
0.707811	0.055706	0.340324	26
0.727750	0.057275	0.375560	27
0.747688	0.058844	0.412322	28
0.767626	0.060413	0.450602	29
0.787565	0.061983	0.490395	30
0.807503	0.063552	0.531697	31
0.827441	0.065121	0.574507	32
0.847380	0.066690	0.618826	33
0.867318	0.068259	0.664655	34
0.887256	0.069829	0.712001	35
0.907195	0.071398	0.760868	36
0.927133	0.072967	0.811263	37
0.947071	0.074536	0.863196	38
0.967010	0.076105	0.916673	39
0.986948	0.077674	0.971704	40
1.006887	0.079244	1.028296	41
0
0.187661	0.029723	0.005953	0
0.207415	0.032851	-0.005953	1
0.227168	0.035980	-0.014739	2
0.246922	0.039109	-0.020878	3
0.266676	0.042237	-0.024685	4
0.286430	0.045366	-0.026373	5
0.306183	0.048495	-0.026083	6
0.325937	0.051623	-0.023914	7
0.345691	0.054752	-0.019931	8
0.365445	0.057881	-0.014178	9
0.385198	0.061009	-0.006686	10
0.404952	0.064138	0.002526	11
0.424706	0.067267	0.013444	12
0.444460	0.070395	0.026059	13
0.464214	0.073524	0.040364	14
0.483967	0.076653	0.056352	15
0.503721	0.079782	0.074015	16
0.523475	0.082910	0.093346	17
0.543229	0.086039	0.114337	18
0.562982	0.089168	0.136975	19
0.582736	0.092296	0.161248	20
0.602490	0.095425	0.187143	21
0.622244	0.098554	0.214644	22
0.641997	0.101682	0.243736	23
0.661751	0.104811	0.274403	24
0.681505	0.107940	0.306629	25
0.701259	0.111068	0.340399	26
0.721013	0.114197	0.375700	27
0.740766	0.117326	0.412519	28
0.760520	0.120454	0.450848	29
0.780274	0.123583	0.490678	30
0.800028	0.126712	0.532005	31
0.819781	0.129840	0.574826	32
0.839535	0.132969	0.619143	33
0.859289	0.136098	0.664958	34
0.879043	0.139227	0.712276	35
0.898796	0.142355	0.761106	36
0.918550	0.145484	0.811455	37
0.938304	0.148613	0.863335	38
0.958058	0.151741	0.916756	39
0.977811	0.154870	0.971731	40
0.997565	0.157999	1.028269	41
1
0.184750	0.044355	0.005892	0
0.204198	0.049023	-0.005892	1
0.223645	0.053692	-0.014580	2
0.243092	0.058361	-0.020657	3
0.262540	0.063030	-0.024440	4
0.281987	0.067699	-0.026139	5
0.301435	0.072368	-0.025892	6
0.320882	0.077037	-0.023790	7
