time = 12.001	Re = 50	40	80
0.189854	0.007459	-1.463265	0
0.209838	0.008245	-1.463265	1
0.229823	0.009030	-1.471410	2
0.249807	0.009815	-1.476802	3
0.269792	0.010600	-1.479758	4
0.289776	0.011385	-1.480894	5
0.309761	0.012171	-1.480878	6
0.329746	0.012956	-1.480307	7
0.349730	0.013741	-1.479660	8
0.369715	0.014526	-1.479275	9
0.389699	0.015311	-1.479331	10
0.409684	0.016097	-1.479837	11
0.429668	0.016882	-1.480618	12
0.449653	0.017667	-1.481308	13
0.469638	0.018452	-1.481347	14
0.489622	0.019237	-1.479939	15
0.509607	0.020022	-1.476073	16
0.529591	0.020808	-1.468498	17
0.549576	0.021593	-1.455728	18
0.569561	0.022378	-1.436029	19
0.589545	0.023163	-1.407423	20
0.609530	0.023948	-1.367690	21
0.629514	0.024734	-1.314370	22
0.649499	0.025519	-1.244776	23
0.669483	0.026304	-1.156003	24
0.689468	0.027089	-1.044941	25
0.709453	0.027874	-0.908292	26
0.729437	0.028660	-0.742590	27
0.749422	0.029445	-0.544216	28
0.769406	0.030230	-0.309421	29
0.789391	0.031015	-0.034345	30
0.809376	0.031800	0.284966	31
0.829360	0.032586	0.652542	32
0.849345	0.033371	1.072471	33
0.869329	0.034156	1.548901	34
0.889314	0.034941	2.086028	35
0.909298	0.035726	2.688121	36
0.929283	0.036512	3.359538	37
0.949268	0.037297	4.104770	38
0.969252	0.038082	4.928497	39
0.989237	0.038867	5.835649	40
1.009221	0.039652	5.835649	41
0
0.188683	0.022332	-1.331361	0
0.208544	0.024683	-1.331361	1
0.228406	0.027034	-1.342974	2
0.248267	0.029384	-1.351285	3
0.268128	0.031735	-1.356561	4
0.287990	0.034086	-1.359436	5
0.307851	0.036437	-1.360618	6
0.327713	0.038787	-1.360767	7
0.347574	0.041138	-1.360429	8
0.367435	0.043489	-1.360011	9
0.387297	0.045840	-1.359761	10
0.407158	0.048190	-1.359756	11
0.427019	0.050541	-1.359884	12
0.446881	0.052892	-1.359838	13
0.466742	0.055243	-1.359122	14
0.486604	0.057593	-1.356992	15
0.506465	0.059944	-1.352469	16
0.526326	0.062295	-1.344333	17
0.546188	0.064646	-1.331117	18
0.566049	0.066996	-1.311096	19
0.585910	0.069347	-1.282298	20
0.605772	0.071698	-1.242500	21
0.625633	0.074048	-1.189239	22
0.645495	0.076399	-1.119822	23
0.665356	0.078750	-1.031341	24
0.685217	0.081101	-0.920684	25
0.705079	0.083451	-0.784557	26
0.724940	0.085802	-0.619496	27
0.744801	0.088153	-0.421887	28
0.764663	0.090504	-0.187982	29
0.784524	0.092854	0.086080	30
0.804385	0.095205	0.404262	31
0.824247	0.097556	0.770612	32
0.844108	0.099907	1.189252	33
0.863970	0.102257	1.664371	34
0.883831	0.104608	2.200235	35
0.903692	0.106959	2.801192	36
0.923554	0.109310	3.471703	37
0.943415	0.111660	4.216370	38
0.963276	0.114011	5.039980	39
0.983138	0.116362	5.947560	40
1.002999	0.118713	5.947560	41
1
0.186349	0.037067	-1.199779	0
0.205965	0.040969	-1.199779	1
0.225581	0.044871	-1.215160	2
0.245196	0.048773	-1.226570	3
0.264812	0.052674	-1.234275	4
0.284428	0.056576	-1.238944	5
0.304043	0.060478	-1.241343	6
0.323659	0.064380	-1.242195	7
0.343275	0.068282	-1.242116	8
0.362891	0.072183	-1.241587	9
0.382506	0.076085	-1.240926	10
0.402122	0.079987	-1.240283	11
0.421738	0.083889	-1.239620	12
0.441353	0.087791	-1.238697	13
0.460969	0.091692	-1.237099	14
0.480585	0.095594	-1.234137	15
0.500201	0.099496	-1.228883	16
0.519816	0.103398	-1.220155	17
0.539432	0.107300	-1.206511	18
0.559048	0.111201	-1.186242	19
0.578663	0.115103	-1.157377	20
0.598279	0.119005	-1.117689	21
0.617895	0.122907	-1.064702	22
0.637510	0.126809	-0.995707	23
0.657126	0.130710	-0.907775	24
0.676742	0.134612	-0.797780	25
0.696358	0.138514	-0.662408	26
0.715973	0.142416	-0.498183	27
0.735589	0.146318	-0.301477	28
0.755205	0.150219	-0.068531	29
0.774820	0.154121	0.204526	30
0.794436	0.158023	0.521669	31
0.814052	0.161925	0.886957	32
0.833668	0.165827	1.304534	33
0.853283	0.169728	1.778622	34
0.872899	0.173630	2.313533	35
0.892515	0.177532	2.913677	36
0.912130	0.181434	3.583587	37
0.931746	0.185336	4.327944	38
0.951362	0.189237	5.151611	39
0.970977	0.193139	6.059675	40
0.990593	0.197041	6.059675	41
2
0.182867	0.051574	-1.068706	0
0.202116	0.057002	-1.068706	1
0.221365	0.062431	-1.088374	2
0.240614	0.067860	-1.103190	3
0.259863	0.073289	-1.113486	4
0.279112	0.078718	-1.120010	5
0.298361	0.084146	-1.123612	6
0.317610	0.089575	-1.125094	7
0.336859	0.095004	-1.125152	8
0.356108	0.100433	-1.124345	9
0.375358	0.105862	-1.123075	10
0.394607	0.111290	-1.121570	11
0.413856	0.116719	-1.119876	12
0.433105	0.122148	-1.117842	13
0.452354	0.127577	-1.115137	14
0.471603	0.133006	-1.111150	15
0.490852	0.138435	-1.105018	16
0.510101	0.143863	-1.095609	17
0.529350	0.149292	-1.081517	18
0.548600	0.154721	-1.061054	19
0.567849	0.160150	-1.032255	20
0.587098	0.165579	-0.992880	21
0.606347	0.171007	-0.940429	22
0.625596	0.176436	-0.872160	23
0.644845	0.181865	-0.785105	24
0.664094	0.187294	-0.676097	25
0.683343	0.192723	-0.541786	26
0.702592	0.198151	-0.378660	27
0.721841	0.203580	-0.183060	28
0.741091	0.209009	0.048796	29
0.760340	0.214438	0.320797	30
0.779589	0.219867	0.636928	31
0.798838	0.225295	1.001261	32
0.818087	0.230724	1.417953	33
0.837336	0.236153	1.891250	34
0.856585	0.241582	2.425495	35
0.875834	0.247011	3.025137	36
0.895083	0.252439	3.694755	37
0.914333	0.257868	4.439074	38
0.933582	0.263297	5.263000	39
0.952831	0.268726	6.171650	40
0.972080	0.274155	6.171650	41
3
0.178256	0.065762	-0.938548	0
0.197020	0.072685	-0.938548	1
0.215784	0.079607	-0.963209	2
0.234548	0.086529	-0.981823	3
0.253312	0.093452	-0.994893	4
0.272076	0.100374	-1.003312	5
0.290839	0.107296	-1.008050	6
0.309603	0.114219	-1.010016	7
0.328367	0.121141	-1.010001	8
0.347131	0.128063	-1.008654	9
0.365895	0.134986	-1.006468	10
0.384658	0.141908	-1.003766	11
0.403422	0.148830	-1.000692	12
0.422186	0.155753	-0.997194	13
0.440950	0.162675	-0.993050	14
0.459714	0.169597	-0.987744	15
0.478478	0.176520	-0.980498	16
0.497241	0.183442	-0.970250	17
0.516005	0.190364	-0.955648	18
0.534769	0.197287	-0.935034	19
0.553533	0.204209	-0.906449	20
0.572297	0.211131	-0.867635	21
0.591061	0.218054	-0.816053	22
0.609824	0.224976	-0.748900	23
0.628588	0.231898	-0.663139	24
0.647352	0.238821	-0.555541	25
0.666116	0.245743	-0.422696	26
0.684880	0.252665	-0.261035	27
0.703644	0.259588	-0.066849	28
0.722407	0.266510	0.163697	29
0.741171	0.273432	0.434510	30
0.759935	0.280355	0.749590	31
0.778699	0.287277	1.113021	32
0.797463	0.294199	1.528973	33
0.816227	0.301122	2.001706	34
0.834990	0.308044	2.535573	35
0.853754	0.314966	3.135039	36
0.872518	0.321889	3.804697	37
0.891282	0.328811	4.549284	38
0.910046	0.335733	5.373717	39
0.928810	0.342656	6.283111	40
0.947573	0.349578	6.283111	41
4
0.172547	0.079545	-0.810034	0
0.190710	0.087918	-0.810034	1
0.208873	0.096292	-0.840519	2
0.227036	0.104665	-0.863358	3
0.245199	0.113038	-0.879363	4
0.263362	0.121411	-0.889659	5
0.281524	0.129784	-0.895389	6
0.299687	0.138158	-0.897599	7
0.317850	0.146531	-0.897195	8
0.336013	0.154904	-0.894931	9
0.354176	0.163277	-0.891403	10
0.372339	0.171650	-0.887044	11
0.390502	0.180024	-0.882109	12
0.408664	0.188397	-0.876661	13
0.426827	0.196770	-0.870612	14
0.444990	0.205143	-0.863566	15
0.463153	0.213516	-0.854858	16
0.481316	0.221889	-0.843526	17
0.499479	0.230263	-0.828293	18
0.517642	0.238636	-0.807551	19
0.535805	0.247009	-0.779351	20
0.553967	0.255382	-0.741411	21
0.572130	0.263755	-0.691135	22
0.590293	0.272129	-0.625625	23
0.608456	0.280502	-0.541698	24
0.626619	0.288875	-0.436066	25
0.644782	0.297248	-0.305231	26
0.662945	0.305621	-0.145529	27
0.681107	0.313995	0.046822	28
0.699270	0.322368	0.275691	29
0.717433	0.330741	0.545052	30
0.735596	0.339114	0.858944	31
0.753759	0.347487	1.221471	32
0.771922	0.355860	1.636809	33
0.790085	0.364234	2.109209	34
0.808248	0.372607	2.643014	35
0.826410	0.380980	3.242670	36
0.844573	0.389353	3.912748	37
0.862736	0.397726	4.657966	38
0.880899	0.406100	5.483217	39
0.899062	0.414473	6.393593	40
0.917225	0.422846	6.393593	41
5
0.165774	0.092838	-0.684323	0
0.183224	0.102610	-0.684323	1
0.200674	0.112383	-0.721495	2
0.218124	0.122155	-0.748948	3
0.235574	0.131928	-0.767974	4
0.253024	0.141700	-0.780031	5
0.270474	0.151472	-0.786498	6
0.287924	0.161245	-0.788595	7
0.305374	0.171017	-0.787363	8
0.322824	0.180790	-0.783677	9
0.340274	0.190562	-0.778246	10
0.357723	0.200335	-0.771623	11
0.375173	0.210107	-0.764192	12
0.392623	0.219879	-0.756154	13
0.410073	0.229652	-0.747567	14
0.427523	0.239424	-0.738196	15
0.444973	0.249197	-0.727528	16
0.462423	0.258969	-0.714740	17
0.479873	0.268741	-0.698668	18
0.497323	0.278514	-0.677780	19
0.514773	0.288286	-0.650163	20
0.532223	0.298059	-0.613487	21
0.549673	0.307831	-0.564842	22
0.567123	0.317604	-0.501405	23
0.584572	0.327376	-0.420039	24
0.602022	0.337148	-0.317237	25
0.619472	0.346921	-0.189315	26
0.636922	0.356693	-0.032452	27
0.654372	0.366466	0.157274	28
0.671822	0.376238	0.383854	29
0.689272	0.386010	0.651330	30
0.706722	0.395783	0.963787	31
0.724172	0.405555	1.325347	32
0.741622	0.415328	1.740175	33
0.759072	0.425100	2.212495	34
0.776522	0.434873	2.746602	35
0.793972	0.444645	3.346890	36
0.811421	0.454417	4.017870	37
0.828871	0.464190	4.764202	38
0.846321	0.473962	5.590714	39
0.863771	0.483735	6.502426	40
0.881221	0.493507	6.502426	41
6
0.157979	0.105558	-0.563111	0
0.174609	0.116670	-0.563111	1
0.191238	0.127781	-0.607738	2
0.207867	0.138892	-0.640060	3
0.224497	0.150004	-0.662047	4
0.241126	0.161115	-0.675607	5
0.257756	0.172227	-0.682418	6
0.274385	0.183338	-0.683907	7
0.291014	0.194449	-0.681271	8
0.307644	0.205561	-0.675514	9
0.324273	0.216672	-0.667469	10
0.340903	0.227784	-0.657814	11
0.357532	0.238895	-0.647076	12
0.374161	0.250006	-0.635617	13
0.390791	0.261118	-0.623653	14
0.407420	0.272229	-0.611161	15
0.424050	0.283341	-0.597828	16
0.440679	0.294452	-0.583023	17
0.457308	0.305563	-0.565752	18
0.473938	0.316675	-0.544612	19
0.490567	0.327786	-0.517695	20
0.507197	0.338898	-0.482249	21
0.523826	0.350009	-0.435951	22
