time = 12.001	Re = 50	40	80
0.189414	0.014907	0.008197	0
0.209353	0.016476	-0.008197	1
0.229291	0.018046	-0.020693	2
0.249229	0.019615	-0.029919	3
0.269168	0.021184	-0.036304	4
0.289106	0.022753	-0.040142	5
0.309044	0.024322	-0.041638	6
0.328983	0.025891	-0.040939	7
0.348921	0.027461	-0.038147	8
0.368859	0.029030	-0.033337	9
0.388798	0.030599	-0.026561	10
0.408736	0.032168	-0.017860	11
0.428674	0.033737	-0.007261	12
0.448613	0.035307	0.005211	13
0.468551	0.036876	0.019540	14
0.488489	0.038445	0.035709	15
0.508428	0.040014	0.053705	16
0.528366	0.041583	0.073514	17
0.548305	0.043152	0.095121	18
0.568243	0.044722	0.118510	19
0.588181	0.046291	0.143663	20
0.608120	0.047860	0.170560	21
0.628058	0.049429	0.199179	22
0.647996	0.050998	0.229496	23
0.667935	0.052568	0.261484	24
0.687873	0.054137	0.295113	25
0.707811	0.055706	0.330350	26
0.727750	0.057275	0.367159	27
0.747688	0.058844	0.405502	28
0.767626	0.060413	0.445338	29
0.787565	0.061983	0.486622	30
0.807503	0.063552	0.529311	31
0.827441	0.065121	0.573361	32
0.847380	0.066690	0.618733	33
0.867318	0.068259	0.665393	34
0.887256	0.069829	0.713314	35
0.907195	0.071398	0.762486	36
0.927133	0.072967	0.812912	37
0.947071	0.074536	0.864615	38
0.967010	0.076105	0.917640	39
0.986948	0.077674	0.972054	40
1.006887	0.079244	1.027946	41
0
0.187661	0.029723	0.008087	0
0.207415	0.032851	-0.008087	1
0.227168	0.035980	-0.020390	2
0.246922	0.039109	-0.029459	3
0.266676	0.042237	-0.035722	4
0.286430	0.045366	-0.039472	5
0.306183	0.048495	-0.040911	6
0.325937	0.051623	-0.040182	7
0.345691	0.054752	-0.037386	8
0.365445	0.057881	-0.032591	9
0.385198	0.061009	-0.025849	10
0.404952	0.064138	-0.017192	11
0.424706	0.067267	-0.006647	12
0.444460	0.070395	0.005767	13
0.464214	0.073524	0.020034	14
0.483967	0.076653	0.036143	15
0.503721	0.079782	0.054081	16
0.523475	0.082910	0.073834	17
0.543229	0.086039	0.095388	18
0.562982	0.089168	0.118725	19
0.582736	0.092296	0.143825	20
0.602490	0.095425	0.170666	21
0.622244	0.098554	0.199225	22
0.641997	0.101682	0.229474	23
0.661751	0.104811	0.261384	24
0.681505	0.107940	0.294925	25
0.701259	0.111068	0.330064	26
0.721013	0.114197	0.366767	27
0.740766	0.117326	0.404997	28
0.760520	0.120454	0.444719	29
0.780274	0.123583	0.485894	30
0.800028	0.126712	0.528485	31
0.819781	0.129840	0.572458	32
0.839535	0.132969	0.617780	33
0.859289	0.136098	0.664425	34
0.879043	0.139227	0.712376	35
0.898796	0.142355	0.761623	36
0.918550	0.145484	0.812173	37
0.938304	0.148613	0.864046	38
0.958058	0.151741	0.917281	39
0.977811	0.154870	0.971931	40
0.997565	0.157999	1.028069	41
1
0.184750	0.044355	0.007942	0
0.204198	0.049023	-0.007942	1
0.223645	0.053692	-0.019999	2
