time = 12.001	Re = 60	40	80
0.197538	0.031287	0.000000	0
0.217291	0.034416	0.000166	1
0.237045	0.037544	0.000598	2
0.256799	0.040673	0.001227	3
0.276553	0.043802	0.001995	4
0.296307	0.046930	0.002849	5
0.316060	0.050059	0.003742	6
0.335814	0.053188	0.004627	7
0.355568	0.056316	0.005462	8
0.375322	0.059445	0.006207	9
0.395075	0.062574	0.006820	10
0.414829	0.065702	0.007263	11
0.434583	0.068831	0.007497	12
0.454337	0.071960	0.007484	13
0.474090	0.075088	0.007185	14
0.493844	0.078217	0.006563	15
0.513598	0.081346	0.005580	16
0.533352	0.084475	0.004200	17
0.553105	0.087603	0.002385	18
0.572859	0.090732	0.000099	19
0.592613	0.093861	-0.002694	20
0.612367	0.096989	-0.006031	21
0.632121	0.100118	-0.009945	22
0.651874	0.103247	-0.014473	23
0.671628	0.106375	-0.019647	24
0.691382	0.109504	-0.025501	25
0.711136	0.112633	-0.032068	26
0.730889	0.115761	-0.039379	27
0.750643	0.118890	-0.047465	28
0.770397	0.122019	-0.056356	29
0.790151	0.125147	-0.066080	30
0.809904	0.128276	-0.076664	31
0.829658	0.131405	-0.088136	32
0.849412	0.134534	-0.100521	33
0.869166	0.137662	-0.113843	34
0.888920	0.140791	-0.128127	35
0.908673	0.143920	-0.143395	36
0.928427	0.147048	-0.159671	37
0.948181	0.150177	-0.176979	38
0.967935	0.153306	-0.195344	39
0.987688	0.156434	-0.214792	40
1
0.194474	0.046689	0.000000	0
0.213921	0.051358	0.000163	1
0.233369	0.056027	0.000586	2
0.252816	0.060696	0.001202	3
0.272264	0.065365	0.001955	4
0.291711	0.070034	0.002791	5
0.311158	0.074702	0.003664	6
0.330606	0.079371	0.004530	7
0.350053	0.084040	0.005346	8
0.369501	0.088709	0.006073	9
0.388948	0.093378	0.006669	10
0.408395	0.098047	0.007098	11
0.427843	0.102716	0.007319	12
0.447290	0.107385	0.007295	13
0.466738	0.112054	0.006988	14
0.486185	0.116723	0.006359	15
0.505632	0.121391	0.005372	16
0.525080	0.126060	0.003989	17
0.544527	0.130729	0.002172	18
0.563975	0.135398	-0.000115	19
0.583422	0.140067	-0.002908	20
0.602869	0.144736	-0.006244	21
0.622317	0.149405	-0.010156	22
0.641764	0.154074	-0.014681	23
0.661212	0.158743	-0.019851	24
0.680659	0.163412	-0.025700	25
0.700106	0.168081	-0.032260	26
0.719554	0.172749	-0.039563	27
0.739001	0.177418	-0.047638	28
0.758449	0.182087	-0.056516	29
0.777896	0.186756	-0.066226	30
0.797343	0.191425	-0.076794	31
0.816791	0.196094	-0.088248	32
0.836238	0.200763	-0.100614	33
0.855686	0.205432	-0.113917	34
0.875133	0.210101	-0.128181	35
0.894580	0.214770	-0.143432	36
0.914028	0.219438	-0.159693	37
0.933475	0.224107	-0.176989	38
0.952923	0.228776	-0.195346	39
0.972370	0.233445	-0.214792	40
2
0.190211	0.061803	0.000000	0
0.209232	0.067984	0.000158	1
0.228254	0.074164	0.000571	2
0.247275	0.080344	0.001171	3
0.266296	0.086525	0.001904	4
0.285317	0.092705	0.002718	5
0.304338	0.098885	0.003568	6
0.323359	0.105066	0.004411	7
