time = 12.001	Re = 90	40	80
0.199846	0.007852	0.000000	0
0.219830	0.008637	-0.000025	1
0.239815	0.009422	-0.000127	2
0.259800	0.010208	-0.000311	3
0.279784	0.010993	-0.000571	4
0.299769	0.011778	-0.000896	5
0.319753	0.012563	-0.001273	6
0.339738	0.013348	-0.001688	7
0.359722	0.014134	-0.002129	8
0.379707	0.014919	-0.002582	9
0.399692	0.015704	-0.003038	10
0.419676	0.016489	-0.003486	11
0.439661	0.017274	-0.003921	12
0.459645	0.018060	-0.004337	13
0.479630	0.018845	-0.004729	14
0.499615	0.019630	-0.005094	15
0.519599	0.020415	-0.005431	16
0.539584	0.021200	-0.005737	17
0.559568	0.021985	-0.006009	18
0.579553	0.022771	-0.006244	19
0.599537	0.023556	-0.006439	20
0.619522	0.024341	-0.006587	21
0.639507	0.025126	-0.006682	22
0.659491	0.025911	-0.006719	23
0.679476	0.026697	-0.006690	24
0.699460	0.027482	-0.006589	25
0.719445	0.028267	-0.006409	26
0.739429	0.029052	-0.006146	27
0.759414	0.029837	-0.005800	28
0.779399	0.030623	-0.005372	29
0.799383	0.031408	-0.004867	30
0.819368	0.032193	-0.004298	31
0.839352	0.032978	-0.003678	32
0.859337	0.033763	-0.003030	33
0.879322	0.034549	-0.002377	34
0.899306	0.035334	-0.001749	35
0.919291	0.036119	-0.001176	36
0.939275	0.036904	-0.000689	37
0.959260	0.037689	-0.000316	38
0.979244	0.038475	-0.000081	39
0.999229	0.039260	0.000000	40
1.019214	0.040045	0.000000	41
0
0.198614	0.023507	0.000000	0
0.218475	0.025858	-0.000086	1
0.238336	0.028209	-0.000329	2
0.258198	0.030560	-0.000691	3
0.278059	0.032910	-0.001137	4
0.297921	0.035261	-0.001634	5
0.317782	0.037612	-0.002154	6
0.337643	0.039963	-0.002677	7
0.357505	0.042313	-0.003184	8
0.377366	0.044664	-0.003662	9
0.397227	0.047015	-0.004103	10
0.417089	0.049366	-0.004501	11
0.436950	0.051716	-0.004853	12
0.456811	0.054067	-0.005159	13
0.476673	0.056418	-0.005422	14
0.496534	0.058769	-0.005643	15
0.516396	0.061119	-0.005827	16
0.536257	0.063470	-0.005975	17
0.556118	0.065821	-0.006091	18
0.575980	0.068172	-0.006176	19
0.595841	0.070522	-0.006229	20
0.615702	0.072873	-0.006250	21
0.635564	0.075224	-0.006234	22
0.655425	0.077575	-0.006176	23
0.675287	0.079925	-0.006073	24
0.695148	0.082276	-0.005917	25
0.715009	0.084627	-0.005705	26
0.734871	0.086978	-0.005431	27
0.754732	0.089328	-0.005094	28
0.774593	0.091679	-0.004694	29
0.794455	0.094030	-0.004235	30
0.814316	0.096381	-0.003727	31
0.834178	0.098731	-0.003180	32
0.854039	0.101082	-0.002613	33
0.873900	0.103433	-0.002046	34
0.893762	0.105784	-0.001502	35
0.913623	0.108134	-0.001008	36
0.933484	0.110485	-0.000589	37
0.953346	0.112836	-0.000270	38
0.973207	0.115187	-0.000069	39
0.993068	0.117537	0.000000	40
1.012930	0.119888	0.000000	41
1
0.196157	0.039018	0.000000	0
0.215773	0.042920	-0.000152	1
0.235388	0.046822	-0.000548	2
0.255004	0.050723	-0.001103	3
0.274620	0.054625	-0.001747	4
0.294236	0.058527	-0.002425	5
0.313851	0.062429	-0.003096	6
0.333467	0.066331	-0.003730	7
0.353083	0.070232	-0.004305	8
0.372698	0.074134	-0.004807	9
0.392314	0.078036	-0.005230	10
0.411930	0.081938	-0.005572	11
0.431546	0.085840	-0.005835	12
0.451161	0.089741	-0.006025	13
0.470777	0.093643	-0.006150	14
0.490393	0.097545	-0.006218	15
0.510008	0.101447	-0.006240	16
0.529624	0.105349	-0.006224	17
0.549240	0.109250	-0.006178	18
0.568855	0.113152	-0.006107	19
0.588471	0.117054	-0.006017	20
0.608087	0.120956	-0.005908	21
0.627703	0.124858	-0.005781	22
0.647318	0.128760	-0.005632	23
0.666934	0.132661	-0.005458	24
0.686550	0.136563	-0.005254	25
0.706165	0.140465	-0.005013	26
0.725781	0.144367	-0.004733	27
0.745397	0.148269	-0.004409	28
0.765013	0.152170	-0.004041	29
0.784628	0.156072	-0.003631	30
0.804244	0.159974	-0.003184	31
0.823860	0.163876	-0.002710	32
0.843475	0.167778	-0.002221	33
0.863091	0.171679	-0.001735	34
0.882707	0.175581	-0.001272	35
0.902322	0.179483	-0.000852	36
0.921938	0.183385	-0.000497	37
0.941554	0.187287	-0.000227	38
0.961170	0.191188	-0.000058	39
0.980785	0.195090	0.000000	40
1.000401	0.198992	0.000000	41
2
0.192491	0.054288	0.000000	0
0.211740	0.059717	-0.000229	1
0.230989	0.065146	-0.000797	2
0.250238	0.070574	-0.001566	3
0.269487	0.076003	-0.002428	4
0.288737	0.081432	-0.003306	5
0.307986	0.086861	-0.004142	6
0.327235	0.092290	-0.004898	7
0.346484	0.097718	-0.005547	8
0.365733	0.103147	-0.006076	9
0.384982	0.108576	-0.006480	10
0.404231	0.114005	-0.006761	11
0.423480	0.119434	-0.006927	12
0.442729	0.124863	-0.006989	13
0.461979	0.130291	-0.006963	14
0.481228	0.135720	-0.006865	15
0.500477	0.141149	-0.006709	16
0.519726	0.146578	-0.006513	17
0.538975	0.152007	-0.006290	18
0.558224	0.157435	-0.006052	19
0.577473	0.162864	-0.005806	20
0.596722	0.168293	-0.005560	21
0.615971	0.173722	-0.005316	22
0.635220	0.179151	-0.005072	23
0.654470	0.184579	-0.004827	24
0.673719	0.190008	-0.004575	25
0.692968	0.195437	-0.004310	26
0.712217	0.200866	-0.004028	27
0.731466	0.206295	-0.003722	28
0.750715	0.211723	-0.003391	29
0.769964	0.217152	-0.003032	30
0.789213	0.222581	-0.002650	31
0.808462	0.228010	-0.002249	32
0.827712	0.233439	-0.001840	33
0.846961	0.238867	-0.001435	34
0.866210	0.244296	-0.001049	35
0.885459	0.249725	-0.000701	36
0.904708	0.255154	-0.000408	37
0.923957	0.260583	-0.000186	38
0.943206	0.266011	-0.000047	39
0.962455	0.271440	0.000000	40
0.981704	0.276869	0.000000	41
3
0.187638	0.069223	0.000000	0
0.206402	0.076146	-0.000319	1
0.225166	0.083068	-0.001085	2
0.243930	0.089990	-0.002096	3
0.262694	0.096913	-0.003206	4
0.281457	0.103835	-0.004308	5
0.300221	0.110757	-0.005330	6
0.318985	0.117680	-0.006224	7
0.337749	0.124602	-0.006959	8
0.356513	0.131524	-0.007521	9
0.375277	0.138447	-0.007908	10
0.394040	0.145369	-0.008124	11
0.412804	0.152291	-0.008184	12
0.431568	0.159214	-0.008106	13
0.450332	0.166136	-0.007911	14
0.469096	0.173058	-0.007624	15
0.487860	0.179981	-0.007269	16
0.506623	0.186903	-0.006869	17
0.525387	0.193825	-0.006445	18
0.544151	0.200748	-0.006016	19
0.562915	0.207670	-0.005596	20
0.581679	0.214592	-0.005195	21
0.600443	0.221515	-0.004820	22
0.619206	0.228437	-0.004473	23
0.637970	0.235359	-0.004151	24
0.656734	0.242282	-0.003850	25
0.675498	0.249204	-0.003563	26
0.694262	0.256126	-0.003282	27
0.713025	0.263049	-0.003001	28
0.731789	0.269971	-0.002712	29
0.750553	0.276893	-0.002412	30
0.769317	0.283816	-0.002100	31
0.788081	0.290738	-0.001778	32
0.806845	0.297660	-0.001452	33
0.825608	0.304583	-0.001130	34
0.844372	0.311505	-0.000826	35
0.863136	0.318427	-0.000551	36
0.881900	0.325350	-0.000319	37
0.900664	0.332272	-0.000144	38
0.919428	0.339194	-0.000036	39
0.938191	0.346117	0.000000	40
0.956955	0.353039	0.000000	41
4
0.181629	0.083732	0.000000	0
0.199792	0.092105	-0.000425	1
0.217954	0.100478	-0.001418	2
0.236117	0.108851	-0.002707	3
0.254280	0.117225	-0.004097	4
0.272443	0.125598	-0.005455	5
0.290606	0.133971	-0.006690	6
0.308769	0.142344	-0.007745	7
0.326932	0.150717	-0.008583	8
0.345094	0.159091	-0.009190	9
0.363257	0.167464	-0.009563	10
0.381420	0.175837	-0.009713	11
0.399583	0.184210	-0.009658	12
0.417746	0.192583	-0.009423	13
0.435909	0.200957	-0.009039	14
0.454072	0.209330	-0.008537	15
0.472235	0.217703	-0.007951	16
0.490397	0.226076	-0.007313	17
0.508560	0.234449	-0.006654	18
0.526723	0.242822	-0.006001	19
0.544886	0.251196	-0.005375	20
0.563049	0.259569	-0.004793	21
0.581212	0.267942	-0.004266	22
0.599375	0.276315	-0.003798	23
0.617537	0.284688	-0.003390	24
0.635700	0.293062	-0.003036	25
0.653863	0.301435	-0.002727	26
0.672026	0.309808	-0.002452	27
0.690189	0.318181	-0.002202	28
0.708352	0.326554	-0.001965	29
0.726515	0.334928	-0.001734	30
0.744678	0.343301	-0.001503	31
0.762840	0.351674	-0.001270	32
0.781003	0.360047	-0.001036	33
0.799166	0.368420	-0.000807	34
0.817329	0.376793	-0.000588	35
0.835492	0.385167	-0.000391	36
0.853655	0.393540	-0.000225	37
0.871818	0.401913	-0.000101	38
0.889980	0.410286	-0.000025	39
0.908143	0.418659	0.000000	40
0.926306	0.427033	0.000000	41
5
0.174499	0.097724	0.000000	0
0.191949	0.107497	-0.000548	1
0.209399	0.117269	-0.001801	2
0.226849	0.127041	-0.003402	3
0.244299	0.136814	-0.005109	4
0.261749	0.146586	-0.006757	5
0.279199	0.156359	-0.008238	6
0.296649	0.166131	-0.009481	7
0.314099	0.175904	-0.010446	8
0.331549	0.185676	-0.011114	9
0.348998	0.195448	-0.011485	10
0.366448	0.205221	-0.011570	11
0.383898	0.214993	-0.011393	12
0.401348	0.224766	-0.010987	13
0.418798	0.234538	-0.010388	14
0.436248	0.244310	-0.009638	15
0.453698	0.254083	-0.008782	16
0.471148	0.263855	-0.007863	17
0.488598	0.273628	-0.006922	18
0.506048	0.283400	-0.005998	19
0.523498	0.293173	-0.005122	20
0.540948	0.302945	-0.004319	21
0.558398	0.312717	-0.003608	22
0.575848	0.322490	-0.002996	23
0.593297	0.332262	-0.002486	24
0.610747	0.342035	-0.002070	25
0.628197	0.351807	-0.001739	26
0.645647	0.361579	-0.001478	27
0.663097	0.371352	-0.001270	28
