time = 8.0001	Re = 0.1	40	80
0
0.208544	0.024683	0.000477	1
0.228406	0.027034	0.003930	2
0.248267	0.029384	0.009804	3
0.268128	0.031735	0.017396	4
0.287990	0.034086	0.026376	5
0.307851	0.036437	0.036444	6
0.327713	0.038787	0.047179	7
0.347574	0.041138	0.058020	8
0.367435	0.043489	0.068278	9
0.387297	0.045840	0.077146	10
0.407158	0.048190	0.083718	11
0.427019	0.050541	0.087038	12
0.446881	0.052892	0.086226	13
0.466742	0.055243	0.080737	14
0.486604	0.057593	0.070892	15
0.506465	0.059944	0.058883	16
0.526326	0.062295	0.050573	17
0.546188	0.064646	0.058512	18
0.566049	0.066996	0.106555	19
0.585910	0.069347	0.236009	20
0.605772	0.071698	0.512346	21
0.625633	0.074049	1.033365	22
0.645494	0.076399	1.968566	23
0.665356	0.078750	3.851929	24
0.685217	0.081101	5.571005	25
0.705079	0.083452	6.159670	26
0.724940	0.085802	6.262580	27
0.744801	0.088153	6.161270	28
0.764663	0.090504	5.979312	29
0.784524	0.092855	5.774443	30
0.804385	0.095206	5.572516	31
0.824247	0.097556	5.382683	32
0.844108	0.099907	5.205243	33
0.863970	0.102258	5.035974	34
0.883831	0.104609	4.868613	35
0.903692	0.106959	4.696379	36
0.923554	0.109310	4.513080	37
0.943415	0.111661	4.314117	38
0.963276	0.114012	4.097651	39
0.983138	0.116362	3.866157	40
1
0.205965	0.040969	0.001478	1
0.225581	0.044871	0.007451	2
0.245196	0.048772	0.014422	3
0.264812	0.052674	0.021163	4
0.284428	0.056576	0.027264	5
0.304043	0.060478	0.032509	6
0.323659	0.064380	0.036650	7
0.343275	0.068281	0.039364	8
0.362891	0.072183	0.040288	9
0.382506	0.076085	0.039101	10
0.402122	0.079987	0.035645	11
0.421738	0.083889	0.030116	12
0.441353	0.087790	0.023329	13
0.460969	0.091692	0.017113	14
0.480585	0.095594	0.014850	15
0.500201	0.099496	0.022184	16
0.519816	0.103398	0.047887	17
0.539432	0.107299	0.104895	18
0.559048	0.111201	0.211653	19
0.578663	0.115103	0.394410	20
0.598279	0.119005	0.692035	21
0.617895	0.122907	1.164899	22
0.637511	0.126808	1.899714	23
0.657126	0.130710	2.951947	24
0.676742	0.134612	4.025236	25
0.696358	0.138514	4.801847	26
0.715973	0.142416	5.274343	27
0.735589	0.146317	5.519369	28
0.755205	0.150219	5.614118	29
0.774820	0.154121	5.616863	30
0.794436	0.158023	5.567005	31
0.814052	0.161925	5.489485	32
0.833668	0.165826	5.399270	33
0.853283	0.169728	5.304954	34
0.872899	0.173630	5.211469	35
0.892515	0.177532	5.122126	36
0.912130	0.181434	5.040280	37
0.931746	0.185335	4.970844	38
0.951362	0.189237	4.921916	39
0.970978	0.193139	4.906760	40
2
0.202116	0.057002	0.002574	1
0.221365	0.062431	0.010275	2
0.240614	0.067860	0.017453	3
