time = 8	Re = 0.5	40	80
0.189854	0.007459	-0.182055	0
0.209838	0.008245	-0.182055	1
0.229823	0.009030	-0.152012	2
0.249807	0.009815	-0.127686	3
0.269792	0.010600	-0.117825	4
0.289776	0.011385	-0.122759	5
0.309761	0.012171	-0.140881	6
0.329746	0.012956	-0.170618	7
0.349730	0.013741	-0.210880	8
0.369715	0.014526	-0.261095	9
0.389699	0.015311	-0.321133	10
0.409684	0.016097	-0.391258	11
0.429668	0.016882	-0.472101	12
0.449653	0.017667	-0.564676	13
0.469638	0.018452	-0.670435	14
0.489622	0.019237	-0.791358	15
0.509607	0.020022	-0.930096	16
0.529591	0.020808	-1.090145	17
0.549576	0.021593	-1.276068	18
0.569561	0.022378	-1.493735	19
0.589545	0.023163	-1.750554	20
0.609530	0.023948	-2.055666	21
0.629514	0.024734	-2.420095	22
0.649499	0.025519	-2.857124	23
0.669483	0.026304	-3.383824	24
0.689468	0.027089	-2.127612	25
0.709453	0.027874	-1.462017	26
0.729437	0.028660	-1.071432	27
0.749422	0.029445	-0.823814	28
0.769406	0.030230	-0.658198	29
0.789391	0.031015	-0.543568	30
0.809376	0.031800	-0.462768	31
0.829360	0.032586	-0.405683	32
0.849345	0.033371	-0.366110	33
0.869329	0.034156	-0.340187	34
0.889314	0.034941	-0.325560	35
0.909298	0.035726	-0.320927	36
0.929283	0.036512	-0.325781	37
0.949268	0.037297	-0.340287	38
0.969252	0.038082	-0.365249	39
0.989237	0.038867	-0.402152	40
1.009221	0.039652	-0.402152	41
0
0.188683	0.022332	-0.208605	0
0.208544	0.024683	-0.208605	1
0.228406	0.027034	-0.178083	2
0.248267	0.029384	-0.156900	3
0.268128	0.031735	-0.148414	4
0.287990	0.034086	-0.152804	5
0.307851	0.036437	-0.169095	6
0.327713	0.038787	-0.196188	7
0.347574	0.041138	-0.233230	8
0.367435	0.043489	-0.279702	9
0.387297	0.045840	-0.335411	10
0.407158	0.048190	-0.400449	11
0.427019	0.050541	-0.475167	12
0.446881	0.052892	-0.560148	13
0.466742	0.055243	-0.656189	14
0.486604	0.057593	-0.764271	15
0.506465	0.059944	-0.885503	16
0.526326	0.062295	-1.020984	17
0.546188	0.064646	-1.171508	18
0.566049	0.066996	-1.336966	19
0.585910	0.069347	-1.515115	20
0.605772	0.071698	-1.699109	21
0.625633	0.074048	-1.872432	22
0.645495	0.076399	-1.998160	23
0.665356	0.078750	-1.995707	24
0.685217	0.081101	-1.688320	25
0.705079	0.083451	-1.370929	26
0.724940	0.085802	-1.109420	27
0.744801	0.088153	-0.907592	28
0.764663	0.090504	-0.755274	29
0.784524	0.092854	-0.641443	30
0.804385	0.095205	-0.557196	31
0.824247	0.097556	-0.495966	32
0.844108	0.099907	-0.453106	33
0.863970	0.102257	-0.425436	34
0.883831	0.104608	-0.410896	35
0.903692	0.106959	-0.408297	36
0.923554	0.109310	-0.417166	37
0.943415	0.111660	-0.437660	38
0.963276	0.114011	-0.470536	39
0.983138	0.116362	-0.517171	40
1.002999	0.118713	-0.517171	41
1
0.186349	0.037067	-0.236099	0
0.205965	0.040969	-0.236099	1
0.225581	0.044871	-0.197787	2
0.245196	0.048773	-0.174849	3
0.264812	0.052674	-0.165540	4
0.284428	0.056576	-0.168508	5
0.304043	0.060478	-0.182478	6
0.323659	0.064380	-0.206365	7
0.343275	0.068282	-0.239353	8
0.362891	0.072183	-0.280893	9
0.382506	0.076085	-0.330677	10
0.402122	0.079987	-0.388589	11
0.421738	0.083889	-0.454658	12
0.441353	0.087791	-0.528993	13
0.460969	0.091692	-0.611723	14
0.480585	0.095594	-0.702889	15
0.500201	0.099496	-0.802296	16
0.519816	0.103398	-0.909269	17
0.539432	0.107300	-1.022268	18
0.559048	0.111201	-1.138282	19
0.578663	0.115103	-1.251928	20
0.598279	0.119005	-1.354189	21
0.617895	0.122907	-1.430877	22
0.637510	0.126809	-1.461665	23
0.657126	0.130710	-1.422507	24
0.676742	0.134612	-1.300310	25
0.696358	0.138514	-1.145750	26
0.715973	0.142416	-0.992981	27
0.735589	0.146318	-0.857542	28
0.755205	0.150219	-0.744241	29
0.774820	0.154121	-0.652923	30
0.794436	0.158023	-0.581580	31
0.814052	0.161925	-0.527805	32
0.833668	0.165827	-0.489413	33
0.853283	0.169728	-0.464655	34
0.872899	0.173630	-0.452273	35
