time = 8	Re = 0.5	40	80
0.199846	0.007852	0.000000	0
0.219830	0.008637	0.000022	1
0.239815	0.009422	0.000299	2
0.259800	0.010208	0.000754	3
0.279784	0.010993	0.001319	4
0.299769	0.011778	0.001955	5
0.319753	0.012563	0.002641	6
0.339738	0.013348	0.003367	7
0.359722	0.014134	0.004125	8
0.379707	0.014919	0.004910	9
0.399692	0.015704	0.005715	10
0.419676	0.016489	0.006535	11
0.439661	0.017274	0.007359	12
0.459645	0.018060	0.008173	13
0.479630	0.018845	0.008955	14
0.499615	0.019630	0.009669	15
0.519599	0.020415	0.010256	16
0.539584	0.021200	0.010614	17
0.559568	0.021985	0.010564	18
0.579553	0.022771	0.009790	19
0.599537	0.023556	0.007736	20
0.619522	0.024341	0.003411	21
0.639507	0.025126	-0.004946	22
0.659491	0.025911	-0.020472	23
0.679476	0.026697	-0.048808	24
0.699460	0.027482	-0.057366	25
0.719445	0.028267	-0.057773	26
0.739429	0.029052	-0.054520	27
0.759414	0.029837	-0.049563	28
0.779399	0.030623	-0.043855	29
0.799383	0.031408	-0.037909	30
0.819368	0.032193	-0.032018	31
0.839352	0.032978	-0.026360	32
0.859337	0.033763	-0.021049	33
0.879322	0.034549	-0.016164	34
0.899306	0.035334	-0.011771	35
0.919291	0.036119	-0.007936	36
0.939275	0.036904	-0.004733	37
0.959260	0.037689	-0.002255	38
0.979244	0.038475	-0.000624	39
0.999229	0.039260	0.000000	40
1.019214	0.040045	0.000000	41
0
0.198614	0.023507	0.000000	0
0.218475	0.025858	0.000293	1
0.238336	0.028209	0.001086	2
0.258198	0.030560	0.002224	3
0.278059	0.032910	0.003587	4
0.297921	0.035261	0.005096	5
0.317782	0.037612	0.006698	6
0.337643	0.039963	0.008354	7
0.357505	0.042313	0.010032	8
0.377366	0.044664	0.011698	9
0.397227	0.047015	0.013314	10
0.417089	0.049366	0.014835	11
0.436950	0.051716	0.016201	12
0.456811	0.054067	0.017332	13
0.476673	0.056418	0.018126	14
0.496534	0.058769	0.018441	15
0.516396	0.061119	0.018089	16
0.536257	0.063470	0.016815	17
0.556118	0.065821	0.014286	18
0.575980	0.068172	0.010075	19
0.595841	0.070522	0.003674	20
0.615702	0.072873	-0.005441	21
0.635564	0.075224	-0.017606	22
0.655425	0.077575	-0.032465	23
0.675287	0.079925	-0.047763	24
0.695148	0.082276	-0.056565	25
0.715009	0.084627	-0.059516	26
0.734871	0.086978	-0.058401	27
0.754732	0.089328	-0.054729	28
0.774593	0.091679	-0.049561	29
0.794455	0.094030	-0.043605	30
0.814316	0.096381	-0.037329	31
0.834178	0.098731	-0.031048	32
0.854039	0.101082	-0.024978	33
0.873900	0.103433	-0.019281	34
0.893762	0.105784	-0.014085	35
0.913623	0.108134	-0.009507	36
0.933484	0.110485	-0.005665	37
0.953346	0.112836	-0.002691	38
0.973207	0.115187	-0.000739	39
0.993068	0.117537	0.000000	40
1.012930	0.119888	0.000000	41
1
0.196157	0.039018	0.000000	0
0.215773	0.042920	0.000531	1
0.235388	0.046822	0.001721	2
0.255004	0.050723	0.003320	3
0.274620	0.054625	0.005178	4
0.294236	0.058527	0.007192	5
0.313851	0.062429	0.009289	6
0.333467	0.066331	0.011406	7
0.353083	0.070232	0.013485	8
0.372698	0.074134	0.015465	9
0.392314	0.078036	0.017278	10
0.411930	0.081938	0.018842	11
0.431546	0.085840	0.020060	12
0.451161	0.089741	0.020813	13
0.470777	0.093643	0.020962	14
0.490393	0.097545	0.020339	15
0.510008	0.101447	0.018749	16
0.529624	0.105349	0.015979	17
0.549240	0.109250	0.011805	18
0.568855	0.113152	0.006031	19
0.588471	0.117054	-0.001460	20
0.608087	0.120956	-0.010600	21
0.627703	0.124858	-0.020998	22
0.647318	0.128760	-0.031757	23
0.666934	0.132661	-0.041358	24
0.686550	0.136563	-0.047958	25
0.706165	0.140465	-0.051159	26
0.725781	0.144367	-0.051383	27
0.745397	0.148269	-0.049312	28
0.765013	0.152170	-0.045616	29
0.784628	0.156072	-0.040859	30
0.804244	0.159974	-0.035490	31
0.823860	0.163876	-0.029854	32
0.843475	0.167778	-0.024220	33
0.863091	0.171679	-0.018803	34
0.882707	0.175581	-0.013780	35
0.902322	0.179483	-0.009308	36
0.921938	0.183385	-0.005537	37
0.941554	0.187287	-0.002618	38
0.961170	0.191188	-0.000712	39
0.980785	0.195090	0.000000	40
1.000401	0.198992	0.000000	41
2
0.192491	0.054288	0.000000	0
0.211740	0.059717	0.000668	1
0.230989	0.065146	0.002076	2
