time = 8	Re = 1	40	80
0.197538	0.031287	0.000000	0
0.217291	0.034416	0.000004	1
0.237045	0.037544	0.000023	2
0.256799	0.040673	0.000056	3
0.276553	0.043802	0.000102	4
0.296307	0.046930	0.000159	5
0.316060	0.050059	0.000227	6
0.335814	0.053188	0.000304	7
0.355568	0.056316	0.000390	8
0.375322	0.059445	0.000484	9
0.395075	0.062574	0.000585	10
0.414829	0.065702	0.000692	11
0.434583	0.068831	0.000800	12
0.454337	0.071960	0.000906	13
0.474090	0.075088	0.001005	14
0.493844	0.078217	0.001087	15
0.513598	0.081346	0.001140	16
0.533352	0.084475	0.001145	17
0.553105	0.087603	0.001074	18
0.572859	0.090732	0.000885	19
0.592613	0.093861	0.000518	20
0.612367	0.096989	-0.000118	21
0.632121	0.100118	-0.001152	22
0.651874	0.103247	-0.002762	23
0.671628	0.106375	-0.005174	24
0.691382	0.109504	-0.008635	25
0.711136	0.112633	-0.013286	26
0.730889	0.115761	-0.019183	27
0.750643	0.118890	-0.026331	28
0.770397	0.122019	-0.034711	29
0.790151	0.125147	-0.044289	30
0.809904	0.128276	-0.055029	31
0.829658	0.131405	-0.066892	32
0.849412	0.134534	-0.079840	33
0.869166	0.137662	-0.093837	34
0.888920	0.140791	-0.108848	35
0.908673	0.143920	-0.124839	36
0.928427	0.147048	-0.141777	37
0.948181	0.150177	-0.159631	38
0.967935	0.153306	-0.178369	39
0.987688	0.156434	-0.197961	40
1
0.194474	0.046689	0.000000	0
0.213921	0.051358	0.000012	1
0.233369	0.056027	0.000054	2
0.252816	0.060696	0.000122	3
0.272264	0.065365	0.000213	4
0.291711	0.070034	0.000325	5
0.311158	0.074702	0.000456	6
0.330606	0.079371	0.000604	7
0.350053	0.084040	0.000766	8
0.369501	0.088709	0.000940	9
0.388948	0.093378	0.001123	10
0.408395	0.098047	0.001307	11
0.427843	0.102716	0.001487	12
0.447290	0.107385	0.001652	13
0.466738	0.112054	0.001788	14
0.486185	0.116723	0.001879	15
0.505632	0.121391	0.001899	16
0.525080	0.126060	0.001816	17
0.544527	0.130729	0.001587	18
0.563975	0.135398	0.001155	19
0.583422	0.140067	0.000444	20
0.602869	0.144736	-0.000639	21
0.622317	0.149405	-0.002211	22
0.641764	0.154074	-0.004411	23
0.661212	0.158743	-0.007385	24
0.680659	0.163412	-0.011274	25
0.700106	0.168081	-0.016181	26
0.719554	0.172749	-0.022171	27
0.739001	0.177418	-0.029276	28
0.758449	0.182087	-0.037507	29
0.777896	0.186756	-0.046858	30
0.797343	0.191425	-0.057316	31
0.816791	0.196094	-0.068863	32
0.836238	0.200763	-0.081477	33
0.855686	0.205432	-0.095138	34
0.875133	0.210101	-0.109823	35
0.894580	0.214770	-0.125513	36
0.914028	0.219438	-0.142187	37
0.933475	0.224107	-0.159829	38
0.952923	0.228776	-0.178424	39
0.972370	0.233445	-0.197961	40
2
