time = 8	Re = 40	40	80
0
0.208544	0.024683	0.000537	1
0.228406	0.027034	0.004661	2
0.248267	0.029384	0.011943	3
0.268128	0.031735	0.021631	4
0.287990	0.034086	0.033409	5
0.307851	0.036437	0.047020	6
0.327713	0.038787	0.062079	7
0.347574	0.041138	0.078042	8
0.367435	0.043489	0.094211	9
0.387297	0.045840	0.109724	10
0.407158	0.048190	0.123543	11
0.427019	0.050541	0.134451	12
0.446881	0.052892	0.141066	13
0.466742	0.055243	0.141953	14
0.486604	0.057593	0.135896	15
0.506465	0.059944	0.122552	16
0.526326	0.062295	0.103819	17
0.546188	0.064646	0.086510	18
0.566049	0.066996	0.087198	19
0.585910	0.069347	0.140051	20
0.605772	0.071698	0.308007	21
0.625633	0.074048	0.699491	22
0.645495	0.076399	1.507748	23
0.665356	0.078750	3.258825	24
0.685217	0.081101	5.061424	25
0.705079	0.083451	5.989309	26
0.724940	0.085802	6.400705	27
0.744801	0.088153	6.491575	28
0.764663	0.090504	6.384456	29
0.784524	0.092854	6.165859	30
0.804385	0.095205	5.895986	31
0.824247	0.097556	5.613242	32
0.844108	0.099907	5.338548	33
0.863970	0.102257	5.079422	34
0.883831	0.104608	4.833487	35
0.903692	0.106959	4.591696	36
0.923554	0.109310	4.341085	37
0.943415	0.111660	4.067318	38
0.963276	0.114011	3.758212	39
0.983138	0.116362	3.408421	40
1
0.205965	0.040969	0.001739	1
0.225581	0.044871	0.009048	2
0.245196	0.048773	0.017940	3
0.264812	0.052674	0.026950	4
0.284428	0.056576	0.035577	5
0.304043	0.060478	0.043568	6
0.323659	0.064380	0.050636	7
0.343275	0.068282	0.056382	8
0.362891	0.072183	0.060302	9
0.382506	0.076085	0.061850	10
0.402122	0.079987	0.060516	11
0.421738	0.083889	0.055971	12
0.441353	0.087791	0.048279	13
0.460969	0.091692	0.038230	14
0.480585	0.095594	0.027849	15
0.500201	0.099496	0.021123	16
0.519816	0.103398	0.025011	17
0.539432	0.107300	0.050783	18
0.559048	0.111201	0.115564	19
0.578663	0.115103	0.244887	20
0.598279	0.119005	0.478206	21
0.617895	0.122907	0.878011	22
0.637510	0.126809	1.530763	23
0.657126	0.130710	2.520189	24
0.676742	0.134612	3.640315	25
0.696358	0.138514	4.594922	26
0.715973	0.142416	5.298171	27
0.735589	0.146318	5.753125	28
0.755205	0.150219	5.995140	29
0.774820	0.154121	6.069267	30
0.794436	0.158023	6.019937	31
0.814052	0.161925	5.885583	32
0.833668	0.165827	5.696143	33
0.853283	0.169728	5.472521	34
0.872899	0.173630	5.227416	35
0.892515	0.177532	4.967140	36
0.912130	0.181434	4.694126	37
0.931746	0.185336	4.410068	38
0.951362	0.189237	4.119863	39
0.970977	0.193139	3.836454	40
2
0.202116	0.057002	0.003105	1
0.221365	0.062431	0.012696	2
0.240614	0.067860	0.022023	3
0.259863	0.073289	0.029749	4
0.279112	0.078718	0.035710	5
0.298361	0.084146	0.039864	6
0.317610	0.089575	0.042112	7
0.336859	0.095004	0.042296	8
0.356108	0.100433	0.040261	9
0.375358	0.105862	0.035946	10
0.394607	0.111290	0.029509	11
0.413856	0.116719	0.021490	12
0.433105	0.122148	0.013011	13
0.452354	0.127577	0.006036	14
0.471603	0.133006	0.003690	15
0.490852	0.138435	0.010659	16
0.510101	0.143863	0.033741	17
0.529350	0.149292	0.082565	18
0.548600	0.154721	0.170753	19
0.567849	0.160150	0.318384	20
0.587098	0.165579	0.554809	21
0.606347	0.171007	0.916365	22
0.625596	0.176436	1.436035	23
0.644845	0.181865	2.123974	24
0.664094	0.187294	2.914756	25
0.683343	0.192723	3.702241	26
0.702592	0.198151	4.405802	27
0.721841	0.203580	4.979764	28
0.741091	0.209009	5.406454	29
0.760340	0.214438	5.687378	30
0.779589	0.219867	5.835877	31
0.798838	0.225295	5.871451	32
0.818087	0.230724	5.815588	33
0.837336	0.236153	5.689007	34
0.856585	0.241582	5.510286	35
0.875834	0.247011	5.295826	36
0.895083	0.252439	5.061027	37
0.914333	0.257868	4.822630	38
0.933582	0.263297	4.602189	39
0.952831	0.268726	4.430906	40
3
0.197020	0.072685	0.004195	1
0.215784	0.079607	0.014266	2
0.234548	0.086529	0.023080	3
0.253312	0.093452	0.029571	4
0.272076	0.100374	0.033925	5
0.290839	0.107296	0.036277	6
0.309603	0.114219	0.036640	7
0.328367	0.121141	0.034976	8
0.347131	0.128063	0.031302	9
0.365895	0.134986	0.025790	10
0.384658	0.141908	0.018892	11
0.403422	0.148830	0.011476	12
0.422186	0.155753	0.004993	13
0.440950	0.162675	0.001669	14
0.459714	0.169597	0.004762	15
0.478478	0.176520	0.018901	16
0.497241	0.183442	0.050580	17
0.516005	0.190364	0.108634	18
0.534769	0.197287	0.205460	19
0.553533	0.204209	0.357800	20
0.572297	0.211131	0.586293	21
0.591061	0.218054	0.908928	22
0.609824	0.224976	1.339903	23
0.628588	0.231898	1.878000	24
0.647352	0.238821	2.494853	25
0.666116	0.245743	3.143757	26
0.684880	0.252665	3.776195	27
0.703644	0.259588	4.351729	28
0.722407	0.266510	4.841628	29
0.741171	0.273432	5.229054	30
0.759935	0.280355	5.507729	31
0.778699	0.287277	5.680011	32
0.797463	0.294199	5.754821	33
0.816227	0.301122	5.745777	34
0.834990	0.308044	5.669815	35
0.853754	0.314966	5.546572	36
0.872518	0.321889	5.398703	37
0.891282	0.328811	5.253304	38
0.910046	0.335733	5.144629	39
0.928810	0.342656	5.118569	40
4
0.190710	0.087918	0.004882	1
0.208873	0.096292	0.013546	2
0.227036	0.104665	0.021179	3
0.245199	0.113038	0.026880	4
0.263362	0.121411	0.030862	5
0.281524	0.129784	0.033203	6
0.299687	0.138158	0.033817	7
0.317850	0.146531	0.032575	8
