time = 5.238	Re = 80	40	80
0
0.208544	0.024683	0.000543	1
0.228406	0.027034	0.004877	2
0.248267	0.029384	0.012718	3
0.268128	0.031735	0.023328	4
0.287990	0.034086	0.036418	5
0.307851	0.036437	0.051765	6
0.327713	0.038787	0.069020	7
0.347574	0.041138	0.087670	8
0.367435	0.043489	0.107038	9
0.387297	0.045840	0.126273	10
0.407158	0.048190	0.144330	11
0.427019	0.050541	0.159944	12
0.446881	0.052892	0.171620	13
0.466742	0.055243	0.177661	14
0.486604	0.057593	0.176330	15
0.506465	0.059944	0.166302	16
0.526326	0.062295	0.147721	17
0.546188	0.064646	0.124485	18
0.566049	0.066996	0.108804	19
0.585910	0.069347	0.129571	20
0.605772	0.071698	0.245696	21
0.625633	0.074048	0.567767	22
0.645495	0.076399	1.313304	23
0.665356	0.078750	3.027318	24
0.685217	0.081101	4.897952	25
0.705079	0.083451	5.990560	26
0.724940	0.085802	6.513758	27
0.744801	0.088153	6.619108	28
0.764663	0.090504	6.448483	29
0.784524	0.092854	6.131882	30
0.804385	0.095205	5.770708	31
0.824247	0.097556	5.433056	32
0.844108	0.099907	5.157262	33
0.863970	0.102257	4.955600	34
0.883831	0.104608	4.821129	35
0.903692	0.106959	4.734697	36
0.923554	0.109310	4.670432	37
0.943415	0.111660	4.596908	38
0.963276	0.114011	4.479249	39
0.983138	0.116362	4.286946	40
1
0.205965	0.040969	0.001809	1
0.225581	0.044871	0.009610	2
0.245196	0.048773	0.019352	3
0.264812	0.052674	0.029484	4
0.284428	0.056576	0.039461	5
0.304043	0.060478	0.049016	6
0.323659	0.064380	0.057850	7
0.343275	0.068282	0.065545	8
0.362891	0.072183	0.071560	9
0.382506	0.076085	0.075271	10
0.402122	0.079987	0.076037	11
0.421738	0.083889	0.073309	12
0.441353	0.087791	0.066795	13
0.460969	0.091692	0.056748	14
0.480585	0.095594	0.044410	15
0.500201	0.099496	0.032703	16
0.519816	0.103398	0.027249	17
0.539432	0.107300	0.037861	18
0.559048	0.111201	0.080680	19
0.578663	0.115103	0.180636	20
0.598279	0.119005	0.377595	21
0.617895	0.122907	0.738820	22
0.637510	0.126809	1.369160	23
0.657126	0.130710	2.355559	24
0.676742	0.134612	3.518656	25
0.696358	0.138514	4.569017	26
0.715973	0.142416	5.370369	27
0.735589	0.146318	5.880539	28
0.755205	0.150219	6.117715	29
0.774820	0.154121	6.137543	30
0.794436	0.158023	6.011179	31
0.814052	0.161925	5.807298	32
0.833668	0.165827	5.580518	33
0.853283	0.169728	5.366011	34
0.872899	0.173630	5.179697	35
0.892515	0.177532	5.021823	36
0.912130	0.181434	4.881763	37
0.931746	0.185336	4.742415	38
0.951362	0.189237	4.585708	39
0.970977	0.193139	4.401093	40
2
0.202116	0.057002	0.003283	1
0.221365	0.062431	0.013649	2
0.240614	0.067860	0.023998	3
0.259863	0.073289	0.032888	4
0.279112	0.078718	0.040122	5
0.298361	0.084146	0.045632	6
0.317610	0.089575	0.049287	7
0.336859	0.095004	0.050872	8
0.356108	0.100433	0.050141	9
0.375358	0.105862	0.046895	10
0.394607	0.111290	0.041092	11
0.413856	0.116719	0.032990	12
0.433105	0.122148	0.023335	13
0.452354	0.127577	0.013613	14
0.471603	0.133006	0.006368	15
0.490852	0.138435	0.005635	16
0.510101	0.143863	0.017539	17
0.529350	0.149292	0.051200	18
0.548600	0.154721	0.119838	19
0.567849	0.160150	0.243220	20
0.587098	0.165579	0.451717	21
0.606347	0.171007	0.789399	22
0.625596	0.176436	1.300825	23
0.644845	0.181865	1.995335	24
0.664094	0.187294	2.822625	25
0.683343	0.192723	3.681728	26
0.702592	0.198151	4.471388	27
0.721841	0.203580	5.117014	28
0.741091	0.209009	5.578493	29
0.760340	0.214438	5.850191	30
0.779589	0.219867	5.954244	31
0.798838	0.225295	5.929461	32
0.818087	0.230724	5.819362	33
0.837336	0.236153	5.662521	34
0.856585	0.241582	5.487032	35
0.875834	0.247011	5.309172	36
0.895083	0.252439	5.135322	37
0.914333	0.257868	4.966147	38
0.933582	0.263297	4.802917	39
0.952831	0.268726	4.656409	40
3
0.197020	0.072685	0.004492	1
0.215784	0.079607	0.015517	2
0.234548	0.086529	0.025400	3
0.253312	0.093452	0.032999	4
0.272076	0.100374	0.038507	5
0.290839	0.107296	0.042052	6
0.309603	0.114219	0.043604	7
0.328367	0.121141	0.043047	8
0.347131	0.128063	0.040273	9
0.365895	0.134986	0.035282	10
0.384658	0.141908	0.028304	11
0.403422	0.148830	0.019927	12
0.422186	0.155753	0.011268	13
0.440950	0.162675	0.004169	14
0.459714	0.169597	0.001455	15
0.478478	0.176520	0.007290	16
0.497241	0.183442	0.027710	17
0.516005	0.190364	0.071357	18
0.534769	0.197287	0.150076	19
0.553533	0.204209	0.280981	20
0.572297	0.211131	0.487087	21
0.591061	0.218054	0.795954	22
0.609824	0.224976	1.224945	23
0.628588	0.231898	1.773201	24
0.647352	0.238821	2.424893	25
0.666116	0.245743	3.135624	26
0.684880	0.252665	3.847002	27
0.703644	0.259588	4.500827	28
0.722407	0.266510	5.049420	29
0.741171	0.273432	5.462848	30
0.759935	0.280355	5.731810	31
0.778699	0.287277	5.865722	32
0.797463	0.294199	5.887100	33
0.816227	0.301122	5.824421	34
0.834990	0.308044	5.705849	35
0.853754	0.314966	5.555416	36
0.872518	0.321889	5.392315	37
0.891282	0.328811	5.233263	38
0.910046	0.335733	5.097796	39
0.928810	0.342656	5.016525	40
4
0.190710	0.087918	0.005281	1
0.208873	0.096292	0.014906	2
0.227036	0.104665	0.023545	3
0.245199	0.113038	0.030264	4
0.263362	0.121411	0.035322	5
0.281524	0.129784	0.038803	6
0.299687	0.138158	0.040577	7
0.317850	0.146531	0.040420	8
0.336013	0.154904	0.038128	9
0.354176	0.163277	0.033640	10
0.372339	0.171650	0.027166	11
0.390502	0.180024	0.019336	12
0.408664	0.188397	0.011378	13
0.426827	0.196770	0.005329	14
0.444990	0.205143	0.004302	15
0.463153	0.213516	0.012816	16
0.481316	0.221889	0.037193	17
0.499479	0.230263	0.085891	18
0.517642	0.238636	0.170154	19
0.535805	0.247009	0.304326	20
0.553967	0.255382	0.505383	21
0.572130	0.263755	0.789923	22
0.590293	0.272129	1.163706	23
0.608456	0.280502	1.628264	24
0.626619	0.288875	2.176707	25
0.644782	0.297248	2.785358	26
0.662945	0.305621	3.419817	27
0.681107	0.313995	4.039921	28
0.699270	0.322368	4.605755	29
0.717433	0.330741	5.083786	30
0.735596	0.339114	5.451795	31
0.753759	0.347487	5.701362	32
0.771922	0.355860	5.837387	33
0.790085	0.364234	5.875178	34
0.808248	0.372607	5.836469	35
0.826410	0.380980	5.745949	36
0.844573	0.389353	5.629560	37
0.862736	0.397726	5.515317	38
0.880899	0.406100	5.436988	39
0.899062	0.414473	5.440907	40
5
0.183224	0.102610	0.005705	1
0.200674	0.112383	0.012619	2
0.218124	0.122155	0.019689	3
0.235574	0.131928	0.026074	4
0.253024	0.141700	0.031743	5
0.270474	0.151472	0.036463	6
0.287924	0.161245	0.039807	7
